Aralia	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  2	  2	  2	  2	  2	  2	  2	  2	  2	  2	  2	2	0	3
Araliopsoides	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Araucaria	  0	  0	  1	  1	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Araucariacites	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Araucarioxylon	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Araucarites	  0	  0	  0	  0	  2	  0	  0	  2	  2	  2	  2	  2	  0	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Arberophyllum	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Arbutus	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	  1	  1	  1	  1	  0	1	0	3
Arcellites	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Archaeanthus	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Archaefructus	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Archaeosigillaria	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Archaeozostera	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Arctostaphylos	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	  1	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	1	1	3
Aricycas	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Artisia	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Artocarpus	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  0	0	0	2
Arundo	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	0	0	3
Asclepiadites	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Aspidiopsis	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Asplenium	  0	  0	  0	  0	  0	  1	  0	  0	  1	  1	  0	  0	  0	  1	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	0	0	3
Asterophyllites	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Asterotheca	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Athrotaxis	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  2	  2	  2	  2	  0	  0	  0	  2	  2	  0	  0	0	0	0
Athrotaxopsis	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Autunia	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Averrhoites	  1	  1	  1	  1	  1	  1	  1	  1	  1	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	0	0	0
Azolla	  3	  3	  3	  3	  3	  1	  3	  1	  0	  1	  0	  0	  0	  2	  2	  3	  2	  2	  2	  2	  2	  2	  2	  2	  2	2	2	3
Azollopsis	  1	  1	  1	  1	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Baculatisporites	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Baieropsis	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Balmeisporites	  1	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Barinophyton	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Beania	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Beaupreaidites	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Bennetticarpus	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Bennettistemon	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Berchemia	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	  0	  0	  3	  2	  2	2	0	3
Berhamniphyllum	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	  1	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	0	0	0
Betula	  1	  1	  1	  1	  1	  1	  0	  0	  0	  1	  1	  0	  1	  3	  3	  3	  3	  2	  1	  3	  3	  3	  3	  3	  3	3	3	3
Bevhalstea	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Biretisporites	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Blechnum	  1	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	3
Bombacacidites	NaN	NaN	NaN	NaN	NaN	  1	  1	  3	  1	  3	  3	  1	  1	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Boodlepteris	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Brachyoxylon	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Brachyphyllum	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Brasenites	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Bucklandia	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Bursericarpum	NaN	NaN	NaN	NaN	NaN	  2	  2	  2	  1	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Calamites	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Calamophyton	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Calamostachys	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Callistophyton	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Caloda	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Calycites	NaN	  1	  1	  0	  1	  1	  0	  1	  0	  1	  1	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	0
Calyptranthes	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	0	0	1
