Species	Status	min_age	max_age	trait
Arctodus_simus	extinct	0.012	0.126	NA
Arctodus_simus	extinct	0.012	0.126	NA
Arctodus_simus	extinct	0.026075	0.026075	NA
Arctodus_simus	extinct	0.01106	0.01171	NA
Arctodus_simus	extinct	0.02719	0.02719	NA
Arctodus_simus	extinct	0	0.126	NA
Arctodus_simus	extinct	0.012	2.588	NA
Arctodus_simus	extinct	0.0115	0.0115	NA
Arctodus_simus	extinct	0.01346	0.01346	NA
Arctodus_simus	extinct	0.03408	0.03408	NA
Arctodus_simus	extinct	0.011986	0.0393	NA
Arctodus_simus	extinct	0.012	0.126	NA
Arctotherium_brasiliensis	extinct	0.02006	0.02006	NA
Arctotherium_brasiliensis	extinct	0.01039	0.01039	NA
Arctotherium_brasiliensis	extinct	0.012	2.588	NA
Ballusia_elmensis	extinct	19	20	11000
Ballusia_elmensis	extinct	18	20	11000
Ballusia_elmensis	extinct	15.2	17	11000
Ballusia_elmensis	extinct	18	20	11000
Ballusia_elmensis	extinct	18	20	11000
Ballusia_elmensis	extinct	18	20	11000
Ballusia_elmensis	extinct	18	20	11000
Ballusia_elmensis	extinct	13.65	15.97	11000
Ballusia_hareni	extinct	19	20	16000
Ballusia_hareni	extinct	18	20	16000
Ballusia_hareni	extinct	18	20	16000
Ballusia_hareni	extinct	18	20	16000
Ballusia_hareni	extinct	18	20	16000
Ballusia_hareni	extinct	18	20	16000
Ballusia_hareni	extinct	18	20	16000
Ballusia_hareni	extinct	18	20	16000
Ballusia_hareni	extinct	18	20	16000
Ballusia_hareni	extinct	18	20	16000
Cephalogale_gracile	extinct	20	22.8	NA
Cephalogale_gracile	extinct	20	22.8	NA
Cephalogale_gracile	extinct	20	22.8	NA
Dinocyon_thenardi	extinct	9.5	11.2	410000
Dinocyon_thenardi	extinct	11.2	12.5	410000
Dinocyon_thenardi	extinct	8.2	12.5	410000
Dinocyon_thenardi	extinct	11.2	12.5	410000
Dinocyon_thenardi	extinct	5.332	23.03	410000
Helarctos_malayanus	extant	0.01	1.95	57075.78
Helarctos_malayanus	extant	0.01	1.95	57075.78
Helarctos_malayanus	extant	0	0.01	57075.78
Helarctos_malayanus	extant	0.01	1.95	57075.78
Helarctos_malayanus	extant	0.6	1.3	57075.78
Helarctos_malayanus	extant	0.01	1.95	57075.78
Helarctos_malayanus	extant	0	0.01	57075.78
Helarctos_malayanus	extant	0.01	1.95	57075.78
Helarctos_malayanus	extant	0.06	0.08	57075.78
Helarctos_malayanus	extant	0.6	1.3	57075.78
Helarctos_malayanus	extant	0.01	1.95	57075.78
Helarctos_malayanus	extant	0.126	0.781	57075.78
Helarctos_malayanus	extant	0.012	0.126	57075.78
Helarctos_malayanus	extant	0.012	0.126	57075.78
Hemicyon_gargan	extinct	18	20	40000
Hemicyon_gargan	extinct	18	20	40000
Hemicyon_gargan	extinct	18	20	40000
Hemicyon_gargan	extinct	18	20	40000
Hemicyon_gargan	extinct	18	20	40000
Hemicyon_gargan	extinct	18	20	40000
Hemicyon_gargan	extinct	18	20	40000
Hemicyon_goeriachensis	extinct	11.2	12.5	120000
Hemicyon_goeriachensis	extinct	11.2	15.2	120000
Hemicyon_goeriachensis	extinct	11.2	12.5	120000
Hemicyon_goeriachensis	extinct	15.2	17	120000
Hemicyon_goeriachensis	extinct	11.2	12.5	120000
Hemicyon_goeriachensis	extinct	12.5	15.2	120000
Hemicyon_goeriachensis	extinct	11.2	12.5	120000
Hemicyon_goeriachensis	extinct	11.2	12.5	120000
Hemicyon_goeriachensis	extinct	11.1	13.65	120000
Hemicyon_hurzeleri	extinct	19	20	90000
Hemicyon_mayorali	extinct	15.2	17	NA
Hemicyon_mayorali	extinct	15.2	17	NA
Hemicyon_sansaniensis	extinct	15.2	17	225000
Hemicyon_sansaniensis	extinct	11.2	12.5	225000
Hemicyon_sansaniensis	extinct	15.2	17	225000
Hemicyon_sansaniensis	extinct	15.2	17	225000
Hemicyon_sansaniensis	extinct	15.2	17	225000
Hemicyon_sansaniensis	extinct	11.2	18	225000
Hemicyon_sansaniensis	extinct	12.5	15.2	225000
Hemicyon_sansaniensis	extinct	13.263	14.059	225000
Hemicyon_sansaniensis	extinct	12.5	15.2	225000
Hemicyon_sansaniensis	extinct	12.5	15.2	225000
Hemicyon_sansaniensis	extinct	15.2	17	225000
Hemicyon_sansaniensis	extinct	12.5	15.2	225000
Hemicyon_sansaniensis	extinct	9.5	11.2	225000
Hemicyon_sansaniensis	extinct	15.2	17	225000
Hemicyon_sansaniensis	extinct	15.2	17	225000
Hemicyon_sansaniensis	extinct	15.2	17	225000
Hemicyon_sansaniensis	extinct	12.5	15.2	225000
Hemicyon_sansaniensis	extinct	11.2	15.2	225000
Hemicyon_sansaniensis	extinct	11.2	15.2	225000
Hemicyon_sansaniensis	extinct	17	18	225000
Hemicyon_sansaniensis	extinct	15.2	17	225000
Hemicyon_sansaniensis	extinct	15.2	17	225000
Hemicyon_sansaniensis	extinct	15.2	17	225000
Hemicyon_sansaniensis	extinct	15.2	17	225000
Hemicyon_sansaniensis	extinct	15.2	17	225000
Hemicyon_sansaniensis	extinct	15.2	17	225000
Hemicyon_sansaniensis	extinct	12.5	15.2	225000
Hemicyon_sansaniensis	extinct	12.5	15.2	225000
Hemicyon_sansaniensis	extinct	12.5	15.2	225000
Hemicyon_sansaniensis	extinct	12.5	15.2	225000
Hemicyon_sansaniensis	extinct	7.246	15.97	225000
Hemicyon_sansaniensis	extinct	11.608	15.97	225000
Hemicyon_sansaniensis	extinct	15.97	20.43	225000
Hemicyon_sansaniensis	extinct	15.97	20.43	225000
Hemicyon_sansaniensis	extinct	13.65	15.97	225000
Hemicyon_sansaniensis	extinct	13.65	15.97	225000
Hemicyon_stehlini	extinct	18	20	87000
Hemicyon_stehlini	extinct	18	20	87000
Hemicyon_stehlini	extinct	18	20	87000
Hemicyon_stehlini	extinct	18	20	87000
Hemicyon_stehlini	extinct	15.2	17	87000
Hemicyon_stehlini	extinct	16.318	16.583	87000
Hemicyon_stehlini	extinct	17	18	87000
Hemicyon_stehlini	extinct	17	18	87000
Hemicyon_stehlini	extinct	18	20	87000
Hemicyon_stehlini	extinct	15.2	17	87000
Hemicyon_stehlini	extinct	15.2	17	87000
Hemicyon_stehlini	extinct	11.2	12.5	87000
Hemicyon_stehlini	extinct	11.2	12.5	87000
Hemicyon_stehlini	extinct	17	18	87000
Hemicyon_stehlini	extinct	15.2	17	87000
Hemicyon_stehlini	extinct	18	20	87000
Hemicyon_stehlini	extinct	15.2	17	87000
Hemicyon_stehlini	extinct	15.2	17	87000
Hemicyon_stehlini	extinct	17	18	87000
Hemicyon_stehlini	extinct	17	18	87000
Hemicyon_stehlini	extinct	17	18	87000
Hemicyon_stehlini	extinct	17	18	87000
Hemicyon_stehlini	extinct	17	18	87000
Hemicyon_stehlini	extinct	17	18	87000
Hemicyon_stehlini	extinct	15.2	18	87000
Hemicyon_stehlini	extinct	17	18	87000
Hemicyon_stehlini	extinct	15.2	18	87000
Hemicyon_stehlini	extinct	15.97	16.9	87000
Hemicyon_stehlini	extinct	15.97	16.9	87000
Hemicyon_stehlini	extinct	15.97	16.9	87000
Indarctos_anthracitis	extinct	7.1	8.2	NA
Indarctos_anthracitis	extinct	7.1	9	NA
Indarctos_arctoides	extinct	9	9.5	160000
Indarctos_arctoides	extinct	9	11.2	160000
Indarctos_arctoides	extinct	8.2	9	160000
Indarctos_arctoides	extinct	9	9.5	160000
Indarctos_arctoides	extinct	5.3	7.1	160000
Indarctos_arctoides	extinct	8.2	9	160000
Indarctos_arctoides	extinct	5.332	11.608	160000
Indarctos_arctoides	extinct	5.332	11.608	160000
Indarctos_atticus	extinct	7.1	8.2	351500
Indarctos_atticus	extinct	8.2	9	351500
Indarctos_atticus	extinct	8.2	9	351500
Indarctos_atticus	extinct	8.2	9	351500
Indarctos_atticus	extinct	7.1	8.2	351500
Indarctos_atticus	extinct	8.2	9	351500
Indarctos_atticus	extinct	8.2	9	351500
Indarctos_atticus	extinct	9	9.5	351500
Indarctos_atticus	extinct	7.1	8.2	351500
Indarctos_atticus	extinct	7.1	8.2	351500
Indarctos_atticus	extinct	7.1	8.2	351500
Indarctos_atticus	extinct	7.1	8.2	351500
Indarctos_atticus	extinct	7.1	9	351500
Indarctos_atticus	extinct	5.3	7.1	351500
Indarctos_atticus	extinct	9	9.5	351500
Indarctos_atticus	extinct	6.744	7.245	351500
Indarctos_atticus	extinct	5.3	7.1	351500
Indarctos_atticus	extinct	5.3	7.1	351500
Indarctos_atticus	extinct	5.3	7.1	351500
Indarctos_atticus	extinct	5.3	7.1	351500
Indarctos_atticus	extinct	5.3	7.1	351500
Indarctos_atticus	extinct	5.3	9	351500
Indarctos_atticus	extinct	5.3	7.1	351500
Indarctos_atticus	extinct	5.332	8.7	351500
Indarctos_atticus	extinct	5.332	8.7	351500
Indarctos_atticus	extinct	5.332	8.7	351500
Indarctos_maraghanus	extinct	7.1	8.2	NA
Indarctos_maraghanus	extinct	7.1	9	NA
Indarctos_maraghanus	extinct	5.3	7.1	NA
Indarctos_nevadensis	extinct	7.7	10.7	NA
Indarctos_oregonensis	extinct	11.1	11.1	NA
Indarctos_oregonensis	extinct	9.1	10.9	NA
Indarctos_oregonensis	extinct	9.6	9.8	NA
Indarctos_oregonensis	extinct	7.7	7.8	NA
Indarctos_vireti	extinct	9.5	11.2	175000
Indarctos_vireti	extinct	9.5	11.2	175000
Indarctos_vireti	extinct	9.428	9.735	175000
Indarctos_vireti	extinct	9	9.5	175000
Indarctos_vireti	extinct	9.5	11.2	175000
Indarctos_vireti	extinct	9.491	9.592	175000
Indarctos_vireti	extinct	11.2	12.5	175000
Indarctos_vireti	extinct	9.5	11.2	175000
Indarctos_zdanskyi	extinct	5.3	9	NA
Indarctos_zdanskyi	extinct	5.3	9	NA
Kolponomos_clallamensis	extinct	20.43	23.03	NA
Kolponomos_newportensis	extinct	13.6	20.43	NA
Phoberocyon_akhmetievi	extinct	15.2	18	146500
Phoberocyon_aurelianensis	extinct	18	20	NA
Phoberocyon_aurelianensis	extinct	18	20	NA
Phoberocyon_aurelianensis	extinct	18	20	NA
Phoberocyon_aurelianensis	extinct	18	20	NA
Phoberocyon_aurelianensis	extinct	18	20	NA
Phoberocyon_aurelianensis	extinct	18	20	NA
Phoberocyon_aurelianensis	extinct	18	20	NA
Phoberocyon_aurelianensis	extinct	18	20	NA
Phoberocyon_aurelianensis	extinct	18	20	NA
Phoberocyon_dehmi	extinct	18	20	NA
Phoberocyon_dehmi	extinct	18	20	NA
Phoberocyon_dehmi	extinct	18	20	NA
Phoberocyon_dehmi	extinct	18	20	NA
Phoberocyon_dehmi	extinct	18	20	NA
Phoberocyon_dehmi	extinct	18	20	NA
Phoberocyon_dehmi	extinct	18	20	NA
Phoberocyon_dehmi	extinct	18	20	NA
Phoberocyon_hispanicus	extinct	18	20	NA
Phoberocyon_hispanicus	extinct	18	20	NA
Phoberocyon_hispanicus	extinct	18	20	NA
Phoberocyon_hispanicus	extinct	20	22.8	NA
Phoberocyon_hispanicus	extinct	18	20	NA
Phoberocyon_hispanicus	extinct	20	22.8	NA
Phoberocyon_johnhenryi	extinct	21.7	21.7	NA
Phoberocyon_youngi	extinct	15.2	17	NA
Phoberogale_depereti	extinct	20	22.8	NA
Phoberogale_ginesticus	extinct	20	22.8	NA
Plionarctos_edensis	extinct	9.9	9.9	NA
Plionarctos_edensis	extinct	6.7	6.7	NA
Plionarctos_harroldorum	extinct	3.3	3.4	NA
Plionarctos_harroldorum	extinct	4.5	4.5	NA
Plithocyon_antunesi	extinct	17	18	144000
Plithocyon_antunesi	extinct	15.2	17	144000
Plithocyon_antunesi	extinct	17	18	144000
Plithocyon_armagnacensis	extinct	11.2	12.5	116000
Plithocyon_armagnacensis	extinct	11.2	12.5	116000
Plithocyon_armagnacensis	extinct	11.2	12.5	116000
Plithocyon_armagnacensis	extinct	15.2	17	116000
Plithocyon_armagnacensis	extinct	12.5	15.2	116000
Plithocyon_armagnacensis	extinct	15.2	17	116000
Plithocyon_armagnacensis	extinct	12.5	15.2	116000
Plithocyon_armagnacensis	extinct	11.2	15.2	116000
Plithocyon_armagnacensis	extinct	15.2	17	116000
Plithocyon_armagnacensis	extinct	15.2	17	116000
Plithocyon_armagnacensis	extinct	15.2	17	116000
Plithocyon_armagnacensis	extinct	12.5	15.2	116000
Plithocyon_armagnacensis	extinct	11.2	12.5	116000
Plithocyon_armagnacensis	extinct	15.2	17	116000
Plithocyon_armagnacensis	extinct	15.2	17	116000
Plithocyon_armagnacensis	extinct	12.5	15.2	116000
Plithocyon_armagnacensis	extinct	15.2	17	116000
Plithocyon_armagnacensis	extinct	15.2	17	116000
Plithocyon_armagnacensis	extinct	12.5	15.2	116000
Plithocyon_armagnacensis	extinct	7.246	15.97	116000
Plithocyon_armagnacensis	extinct	11.608	15.97	116000
Plithocyon_armagnacensis	extinct	13.65	15.97	116000
Plithocyon_barstowensis	extinct	14	14	NA
Plithocyon_bruneti	extinct	19	20	37000
Plithocyon_bruneti	extinct	18	20	37000
Plithocyon_bruneti	extinct	18	20	37000
Plithocyon_bruneti	extinct	18	20	37000
Plithocyon_bruneti	extinct	18	20	37000
Plithocyon_bruneti	extinct	18	20	37000
Plithocyon_bruneti	extinct	18	20	37000
Plithocyon_bruneti	extinct	18	20	37000
Plithocyon_bruneti	extinct	15.2	17	37000
Plithocyon_bruneti	extinct	15.2	17	37000
Plithocyon_bruneti	extinct	18	20	37000
Plithocyon_bruneti	extinct	18	20	37000
Plithocyon_conquense	extinct	15.2	17	82000
Plithocyon_conquense	extinct	17	18	82000
Plithocyon_teilhardi	extinct	11.2	12.5	NA
Plithocyon_teilhardi	extinct	11.2	12.5	NA
Plithocyon_teilhardi	extinct	11.2	12.5	NA
Plithocyon_teilhardi	extinct	9.5	11.2	NA
Plithocyon_teilhardi	extinct	12.5	15.2	NA
Plithocyon_teilhardi	extinct	5.332	15.97	NA
Plithocyon_teilhardi	extinct	12.75	13.65	NA
Plithocyon_ursinus	extinct	16.3	16.3	NA
Plithocyon_ursinus	extinct	13.1	13.1	NA
Tremarctos_floridanus	extinct	0.3	0.3	NA
Tremarctos_floridanus	extinct	2	2	NA
Tremarctos_floridanus	extinct	0.8	0.9	NA
Tremarctos_floridanus	extinct	0.8	0.9	NA
Tremarctos_floridanus	extinct	0.012	0.3	NA
Tremarctos_floridanus	extinct	0.012	0.3	NA
Tremarctos_floridanus	extinct	0.4	0.4	NA
Tremarctos_floridanus	extinct	0.012	0.126	NA
Tremarctos_floridanus	extinct	0.012	0.126	NA
Tremarctos_floridanus	extinct	0.012	0.126	NA
Tremarctos_floridanus	extinct	0.4	0.4	NA
Tremarctos_floridanus	extinct	0.012	0.126	NA
Tremarctos_floridanus	extinct	0.012	0.3	NA
Tremarctos_floridanus	extinct	0.012	0.126	NA
Tremarctos_floridanus	extinct	0	0.126	NA
Tremarctos_floridanus	extinct	0	0.126	NA
Tremarctos_floridanus	extinct	0	0.126	NA
Ursavus_brevirhinus	extinct	8.2	9	NA
Ursavus_brevirhinus	extinct	11.2	15.2	80000
Ursavus_brevirhinus	extinct	15.2	17	80000
Ursavus_brevirhinus	extinct	15.2	17	80000
Ursavus_brevirhinus	extinct	12.5	15.2	80000
Ursavus_brevirhinus	extinct	15.2	17	80000
Ursavus_brevirhinus	extinct	15.2	17	80000
Ursavus_brevirhinus	extinct	17	18	80000
Ursavus_brevirhinus	extinct	9.491	9.592	80000
Ursavus_brevirhinus	extinct	15.2	17	80000
Ursavus_brevirhinus	extinct	11.2	12.5	80000
Ursavus_brevirhinus	extinct	12.5	18	80000
Ursavus_brevirhinus	extinct	9.5	10.35	80000
Ursavus_brevirhinus	extinct	15.2	17	80000
Ursavus_brevirhinus	extinct	13.1	13.1	80000
Ursavus_brevirhinus	extinct	17.9	18	80000
Ursavus_brevirhinus	extinct	15.97	16.9	80000
Ursavus_brevirhinus	extinct	15.97	16.9	80000
Ursavus_brevirhinus	extinct	11.1	13.65	80000
Ursavus_depereti	extinct	8.2	9	100000.00
Ursavus_depereti	extinct	6.744	7.245	100000.00
Ursavus_depereti	extinct	9.5	11.2	100000.00
Ursavus_depereti	extinct	7.1	8.2	100000.00
Ursavus_depereti	extinct	5.332	8.7	100000.00
Ursavus_depereti	extinct	8.7	9.7	100000.00
Ursavus_depereti	extinct	5.332	8.7	100000.00
Ursavus_depereti	extinct	5.332	8.7	100000.00
Ursavus_depereti	extinct	5.332	8.7	100000.00
Ursavus_intermedius	extinct	11.2	12.5	67000
Ursavus_intermedius	extinct	16.318	16.583	67000
Ursavus_intermedius	extinct	13.65	15.97	67000
Ursavus_isorei	extinct	18	20	13000
Ursavus_isorei	extinct	18	20	13000
Ursavus_isorei	extinct	18	20	13000
Ursavus_isorei	extinct	18	20	13000
Ursavus_isorei	extinct	18	20	13000
Ursavus_isorei	extinct	18	20	13000
Ursavus_isorei	extinct	18	20	13000
Ursavus_isorei	extinct	18	20	13000
Ursavus_isorei	extinct	18	20	13000
Ursavus_orientalis	extinct	15.2	17	10000
Ursavus_pawniensis	extinct	13.1	13.1	NA
Ursavus_pawniensis	extinct	13.1	17.2	NA
Ursavus_pawniensis	extinct	17.2	17.2	NA
Ursavus_primaevus	extinct	11.2	12.5	90000
Ursavus_primaevus	extinct	12.5	15.2	90000
Ursavus_primaevus	extinct	8.2	9	90000
Ursavus_primaevus	extinct	9.5	11.2	90000
Ursavus_primaevus	extinct	9.491	9.592	90000
Ursavus_primaevus	extinct	9.5	11.2	90000
Ursavus_primaevus	extinct	11.2	12.5	90000
Ursavus_primaevus	extinct	9.5	10.35	90000
Ursavus_primaevus	extinct	11.2	12.5	90000
