201.4	251.902	372.15
NA	Nuetzelia	NA
NA	Omanites	NA
NA	Oxylongobardites	NA
NA	Palaeophyllites	NA
NA	Paraceratites	NA
NA	Paraceratitoides	NA
NA	Paracrochordiceras	NA
NA	Paradanubites	NA
NA	Paradinarites	NA
NA	Parafrechites	NA
NA	Paragoceras	NA
NA	Parahungarites	NA
NA	Parakellnerites	NA
NA	Paranevadites	NA
NA	Paranoritoides	NA
NA	Parapopanoceras	NA
NA	Parasageceras	NA
NA	Parasphingites	NA
NA	Parasturia	NA
NA	Paratrachyceras	NA
NA	Parinaia	NA
NA	Pearylandites	NA
NA	Peripleurocyclus	NA
NA	Philippites	NA
NA	Phyllocladiscites	NA
NA	Phyllosphaerites	NA
NA	Pinacoceras	NA
NA	Platycuccoceras	NA
NA	Pleurofrechites	NA
NA	Pompeckjites	NA
NA	Praepinacoceras	NA
NA	Praesibirites	NA
NA	Preflorianitoides	NA
NA	Proarcestes	NA
NA	Proavites	NA
NA	Procladiscites	NA
NA	Progonoceratites	NA
NA	Pronoetlingites	NA
NA	Protetragonites	NA
NA	Proteusites	NA
NA	Protrachyceras	NA
NA	Protropites	NA
NA	Pseudacrochordiceras	NA
NA	Pseudocarnites	NA
NA	Pseudodanubites	NA
NA	Pseudohollandites	NA
NA	Pseudokeyserlingites	NA
NA	Pseudoprosphingites	NA
NA	Psilocladiscites	NA
NA	Psilosturia	NA
NA	Pterotoceras	NA
NA	Ptychites	NA
NA	Ptychopopanoceras	NA
NA	Ptychosphaerites	NA
NA	Reiflingites	NA
NA	Reitziites	NA
NA	Repossia	NA
NA	Rieberites	NA
NA	Rieppelites	NA
NA	Rimkinites	NA
NA	Robinsonites	NA
NA	Romanites	NA
NA	Ronconites	NA
NA	Rossiceras	NA
NA	Rudolftruempyiceras	NA
NA	Salterites	NA
NA	Schreyerites	NA
NA	Semiornites	NA
NA	Serpianites	NA
NA	Sibyllites	NA
NA	Silberlingites	NA
NA	Silberlingitoides	NA
NA	Silenticeras	NA
NA	Sinomeginoceras	NA
NA	Sirenotrachyceras	NA
NA	Smithoceras	NA
NA	Sphaerocladiscites	NA
NA	Sphingites	NA
NA	Stannakhites	NA
NA	Stenophyllites	NA
NA	Stenopopanoceras	NA
NA	Stolleyites	NA
NA	Stoppaniceras	NA
NA	Sturia	NA
NA	Subcolumbites	NA
NA	Subfengshanites	NA
NA	Subhungarites	NA
NA	Subowenites	NA
NA	Subradioceras	NA
NA	Sulioticeras	NA
NA	Taimyrites	NA
NA	Tapponnierites	NA
NA	Tardicolumbites	NA
NA	Tetsaoceras	NA
NA	Thanamites	NA
NA	Ticinites	NA
NA	Timites	NA
NA	Tjururpites	NA
NA	Tozericeras	NA
NA	Tozerites	NA
NA	Trachyceras	NA
NA	Trachyornites	NA
NA	Tropigastrites	NA
NA	Tropigymnites	NA
NA	Tsvetkovites	NA
NA	Tuaroceras	NA
NA	Tuchodiceras	NA
NA	Tunglanites	NA
NA	Unionvillites	NA
NA	Ussuriaspenites	NA
NA	Ussuriphyllites	NA
NA	Ussurites	NA
NA	Vorobyevites	NA
NA	Weitschaticeras	NA
NA	Xenoprotrachyceras	NA
NA	Yvesgalleticeras	NA
NA	Zenoites	NA
NA	Zestoceras	NA
NA	Ziyunites	NA
