Taxon_name	Status	MinAge	MaxAge	Site
Didymoceras	extinct	72.2	83.6	1650
Baculites	extinct	72.2	83.6	1651
Baculites	extinct	72.2	83.6	1652
Baculites	extinct	72.2	83.6	1653
Menuites	extinct	72.2	83.6	1653
Baculites	extinct	72.2	83.6	1654
Didymoceras	extinct	72.2	83.6	1654
Menuites	extinct	72.2	83.6	1654
Placenticeras	extinct	72.2	83.6	1654
Baculites	extinct	72.2	83.6	1655
Menuites	extinct	72.2	83.6	1655
Baculites	extinct	72.2	83.6	1656
Baculites	extinct	72.2	83.6	1657
Didymoceras	extinct	72.2	83.6	1657
Exiteloceras	extinct	72.2	83.6	1657
Anaklinoceras	extinct	72.2	83.6	1657
Menuites	extinct	72.2	83.6	1657
Baculites	extinct	72.2	83.6	1658
Menuites	extinct	72.2	83.6	1658
Baculites	extinct	72.2	83.6	1659
Baculites	extinct	72.2	83.6	1660
Baculites	extinct	72.2	83.6	1661
Baculites	extinct	72.2	83.6	1662
Baculites	extinct	72.2	83.6	1663
Baculites	extinct	72.2	83.6	1664
Baculites	extinct	72.2	83.6	1665
Baculites	extinct	72.2	83.6	1666
Baculites	extinct	72.2	83.6	1667
Baculites	extinct	72.2	83.6	1668
Placenticeras	extinct	72.2	83.6	1668
Baculites	extinct	72.2	83.6	1670
Baculites	extinct	72.2	83.6	1671
Didymoceras	extinct	72.2	83.6	1671
Placenticeras	extinct	72.2	83.6	1671
Baculites	extinct	72.2	83.6	1672
Baculites	extinct	72.2	83.6	1673
Didymoceras	extinct	72.2	83.6	1673
Baculites	extinct	72.2	83.6	1674
Baculites	extinct	72.2	83.6	1675
Baculites	extinct	72.2	83.6	1676
Baculites	extinct	72.2	83.6	1677
Trachyscaphites	extinct	72.2	83.6	1677
Scaphites	extinct	72.2	83.6	1677
Hoploscaphites	extinct	72.2	83.6	1677
Placenticeras	extinct	72.2	83.6	1677
Baculites	extinct	72.2	83.6	1678
Hoploscaphites	extinct	72.2	83.6	1678
Placenticeras	extinct	72.2	83.6	1678
Baculites	extinct	72.2	83.6	1679
Baculites	extinct	72.2	83.6	1680
Baculites	extinct	72.2	83.6	1681
Baculites	extinct	72.2	83.6	1682
Scaphites	extinct	72.2	83.6	1682
Baculites	extinct	72.2	83.6	1683
Baculites	extinct	72.2	83.6	1684
Scaphites	extinct	72.2	83.6	1684
Baculites	extinct	72.2	83.6	1712
Baculites	extinct	72.2	83.6	1713
Hoploscaphites	extinct	72.2	83.6	1713
Baculites	extinct	72.2	83.6	1714
Baculites	extinct	72.2	83.6	1715
Baculites	extinct	72.2	83.6	1716
Baculites	extinct	72.2	83.6	1717
