scientificName	Amphicyonidae	Canidae	Felidae	FeliformiaOther	Hyaenidae	Musteloidea	Ursidae	Viverridae	BodyMass	Eurasia	NAmerica
Helarctos	0	0	0	0	0	0	1	0	0.872117135197208	1	0
Hemicyon	0	0	0	0	0	0	1	0	1.21438025242999	1	1
Herpestes	0	0	0	1	0	0	0	0	-1.09017035302877	1	0
Herpestides	0	0	0	0	0	0	0	1	-0.911804271931549	1	0
Hesperoviverra	0	0	0	0	0	0	0	1	0.190935900117771	1	0
Homotherium	0	0	1	0	0	0	0	0	1.70288526420268	1	1
Hoplictis	0	0	0	0	0	1	0	0	0.0229531018857562	1	1
Hyaena	0	0	0	0	1	0	0	0	0.761587609138367	1	0
Hyaenarctis	0	0	0	0	0	0	1	0	0.0688708500611087	1	0
Hyaenictis	0	0	0	0	1	0	0	0	0.547808474833284	1	0
Hyaenictitherium	0	0	0	0	1	0	0	0	0.260037126493014	1	0
Hyaenotherium	0	0	0	0	1	0	0	0	0.530497693989736	1	0
Hypsoparia	0	0	0	0	0	1	0	0	-0.811766098525748	0	1
Iberictis	0	0	0	0	0	1	0	0	-0.38815016494257	1	0
Ictiocyon	1	0	0	0	0	0	0	0	0.572621168648301	1	0
Ictitherium	0	0	0	0	1	0	0	0	0.23283487687208	1	0
Indarctos	0	0	0	0	0	0	1	0	2.03181122962714	1	1
Ischyrictis	0	0	0	0	0	1	0	0	-0.278517103872203	1	0
Ischyrocyon	1	0	0	0	0	0	0	0	1.88403370238426	0	1
Jourdanictis	0	0	0	0	0	0	0	1	-1.2345491599606	1	0
Kolponomos	0	0	0	0	0	0	1	0	1.41810630862233	0	1
Kretzoiarctos	0	0	0	0	0	0	1	0	1.73256061388212	1	0
Laphyctis	0	0	0	0	0	1	0	0	-0.413740533407402	1	0
Lartetictis	0	0	0	0	0	1	0	0	-0.30801043011507	1	0
Legionarictis	0	0	0	0	0	1	0	0	-0.747548589255514	0	1
Leopardus	0	0	1	0	0	0	0	0	-0.712888992370396	0	1
Leptarctus	0	0	0	0	0	1	0	0	-0.639921347599797	1	1
Leptocyon	0	1	0	0	0	0	0	0	-0.722441249052909	0	1
Leptoplesictis	0	0	0	0	0	0	0	1	-1.39978151570187	1	0
Limnonyx	0	0	0	0	0	1	0	0	-0.266302571595136	1	1
Lontra	0	0	0	0	0	1	0	0	-0.225553620167708	0	1
Lophocyon	0	0	0	0	0	0	0	1	-0.62058522176829	1	0
Lutra	0	0	0	0	0	1	0	0	-0.130413072896864	1	1
Lutraeximia	0	0	0	0	0	1	0	0	0.0823111235341564	1	0
Lutravus	0	0	0	0	0	1	0	0	-0.399167342797006	0	1
Lutrogale	0	0	0	0	0	1	0	0	-0.0526125641201074	1	0
Lycaena	0	0	0	0	1	0	0	0	0.0506227626855383	1	0
Lycaon	0	1	0	0	0	0	0	0	0.718227064644182	1	0
Lycyaena	0	0	0	0	1	0	0	0	0.805675454765559	1	0
Lynx	0	0	1	0	0	0	0	0	-0.0905702560232158	1	1
Machairodus	0	0	1	0	0	0	0	0	0.855706810787214	1	1
Maemohcyon	1	0	0	0	0	0	0	0	1.43896290802477	1	0
Magerictis	0	0	0	0	0	1	0	0	-0.383406056946094	1	0
