scientificName	Amphicyonidae	Canidae	Felidae	FeliformiaOther	Hyaenidae	Musteloidea	Ursidae	Viverridae	LogBodyMass	Eurasia	NAmerica
Angustictis	0	0	0	0	0	1	0	0	-1.24186314038244	1	0
Aonyx	0	0	0	0	0	1	0	0	0.230067720042482	1	0
Arctictis	0	0	0	0	0	0	0	1	-0.0498060221144972	1	0
Arctodus	0	0	0	0	0	0	1	0	1.78605086579252	0	1
Arctogalidia	0	0	0	0	0	0	0	1	-0.942012607929943	1	0
Arctomeles	0	0	0	0	0	1	0	0	-0.157843825571547	1	1
Arctonasua	0	0	0	0	0	1	0	0	-0.325764522581853	0	1
Arctonyx	0	0	0	0	0	1	0	0	-0.25694059744332	1	0
Arctotherium	0	0	0	0	0	0	1	0	1.91190650693172	0	1
Arikarictis	0	0	0	0	0	1	0	0	-0.859913723698958	0	1
Asiavorator	0	0	0	1	0	0	0	0	-0.976673919137835	1	0
Ballusia	0	0	0	0	0	0	1	0	0.587093293769647	1	0
Baranogale	0	0	0	0	0	1	0	0	-1.76926881184899	1	0
Barbourofelis	0	0	0	1	0	0	0	0	1.4967182582658	1	1
Bassaricyon	0	0	0	0	0	1	0	0	-1.29368808238664	0	1
Bassaricyonoides	0	0	0	0	0	1	0	0	-1.0221466303911	0	1
Bassariscus	0	0	0	0	0	1	0	0	-1.434267049219	0	1
Bassicyonoides	0	0	0	0	0	1	0	0	-0.176130102355044	0	1
Bathygale	0	0	0	0	0	1	0	0	-0.0214887214590104	1	0
Borophagus	0	1	0	0	0	0	0	0	0.943593578106302	0	1
Brachyopsigale	0	0	0	0	0	1	0	0	-0.860855928499215	0	1
Brachyprotoma	0	0	0	0	0	1	0	0	-1.43211082204758	0	1
Brachypsalis	0	0	0	0	0	1	0	0	-0.33916465842068	0	1
Brevimalictis	0	0	0	0	0	1	0	0	-1.73394683812784	0	1
Broiliana	0	0	0	0	0	1	0	0	-1.24075677922848	1	0
Buisnictis	0	0	0	0	0	1	0	0	-1.5010988927266	0	1
Canimartes	0	0	0	0	0	1	0	0	-0.383865353982256	0	1
Canis	0	1	0	0	0	0	0	0	0.286926172660097	1	1
Caracal	0	0	1	0	0	0	0	0	0.0777323234692196	1	0
Carpocyon	0	1	0	0	0	0	0	0	0.576522505383438	0	1
Cephalogale	0	0	0	0	0	0	1	0	0.775455476738669	1	1
Cerdocyon	0	1	0	0	0	0	0	0	-0.452405327655442	0	1
Cernictis	0	0	0	0	0	1	0	0	-1.24040133575467	0	1
Chamitataxus	0	0	0	0	0	1	0	0	-2.02805314348151	0	1
Chasmaporthetes	0	0	0	0	1	0	0	0	0.994868790784681	1	1
Chrysocyon	0	1	0	0	0	0	0	0	0.661113922145065	0	1
Circamustela	0	0	0	0	0	1	0	0	-1.13381407336469	1	0
Conepatus	0	0	0	0	0	1	0	0	-1.22485759499213	0	1
Cormocyon	0	1	0	0	0	0	0	0	-0.727379260458517	0	1
Crassidia	1	0	0	0	0	0	0	0	2.4001715424926	1	0
Craterogale	0	0	0	0	0	1	0	0	-0.911438012726673	0	1
Crocuta	0	0	0	0	1	0	0	0	1.28607752040546	1	1
Cryptailurus	0	0	0	1	0	0	0	0	0.339951738663301	0	1
Cuon	0	1	0	0	0	0	0	0	0.104804379146028	1	1
Cynarctoides	0	1	0	0	0	0	0	0	-1.2853800723377	0	1
Cynarctus	0	1	0	0	0	0	0	0	-0.29823540144586	0	1
Cynelos	1	0	0	0	0	0	0	0	1.0370198464205	1	1
Cynogale	0	0	0	0	0	0	0	1	-0.523893160455252	1	0
Cynotherium	0	1	0	0	0	0	0	0	-0.039055437316151	1	0
Cyrnaonyx	0	0	0	0	0	1	0	0	-0.864951550354429	1	0
Daphoenodon	1	0	0	0	0	0	0	0	1.01365592536892	0	1
Daphoenus	1	0	0	0	0	0	0	0	0.433724135402453	0	1
Delotrochanter	1	0	0	0	0	0	0	0	1.21938662051355	0	1
Desmocyon	0	1	0	0	0	0	0	0	-0.342512296176713	0	1
Dinocrocuta	0	0	0	1	0	0	0	0	0.960078129603739	1	0
Dinocyon	0	0	0	0	0	0	1	0	0.936761815121021	1	0
Dinofelis	0	0	1	0	0	0	0	0	1.45522536847649	1	1
Dinogale	0	0	0	0	0	1	0	0	-0.856294824307102	0	1
Ectopocynus	0	1	0	0	0	0	0	0	0.965772761318089	0	1
Edaphocyon	0	0	0	0	0	1	0	0	-0.851265857398909	0	1
Eira	0	0	0	0	0	1	0	0	-0.60866955184873	0	1
Eirictis	0	0	0	0	0	1	0	0	-0.253095376668628	1	0
Enhydra	0	0	0	0	0	1	0	0	0.163770812275833	1	1
Enhydrictis	0	0	0	0	0	1	0	0	-0.613611635795954	1	0
Enhydriodon	0	0	0	0	0	1	0	0	0.661035387319141	1	0
Enhydritherium	0	0	0	0	0	1	0	0	0.10548654146965	0	1
Enhydrocyon	0	1	0	0	0	0	0	0	0.844368647636117	0	1
Eomellivora	0	0	0	0	0	1	0	0	0.109527730734679	1	1
Epicyon	0	1	0	0	0	0	0	0	1.01230379314612	0	1
Epimachairodus	0	0	1	0	0	0	0	0	2.21867639402583	1	0
Euboictis	0	0	0	0	0	0	0	1	-0.832534833036745	1	0
Eucyon	0	1	0	0	0	0	0	0	-0.107727530209355	1	1
