scientificName	Status	earliestAge	latestAge
Agriotherium	Extinct	10.3	4.9
Agriotherium	Extinct	23.03	5.333
Agriotherium	Extinct	10.3	4.9
Agriotherium	Extinct	10.3	4.9
Agriotherium	Extinct	10.3	4.9
Agriotherium	Extinct	10.3	4.9
Agriotherium	Extinct	10.3	4.9
Agriotherium	Extinct	10.3	4.9
Agriotherium	Extinct	11.608	5.333
Agriotherium	Extinct	8.7	5.333
Agriotherium	Extinct	5.333	3.2
Agriotherium	Extinct	4.2	3.2
Agriotherium	Extinct	4.2	2.588
Agriotherium	Extinct	4.9	1.8
Agriotherium	Extinct	5.333	3.6
Agriotherium	Extinct	10.3	4.9
Agriotherium	Extinct	3.6	2.588
Agriotherium	Extinct	11.608	3.6
Agriotherium	Extinct	10.3	4.9
Agriotherium	Extinct	10.3	4.9
Agriotherium	Extinct	4.9	1.8
Agriotherium	Extinct	10.3	4.9
Ailuropoda	Extant	0.781	0.0117
Ailuropoda	Extant	2.588	0.0117
Ailuropoda	Extant	0.126	0.0117
Ailuropoda	Extant	2.588	0.781
Ailuropoda	Extant	0.781	0.0117
Ailuropoda	Extant	0.781	0.126
Ailuropoda	Extant	0.781	0.126
Ailuropoda	Extant	0.781	0.126
Ailuropoda	Extant	2.588	0.781
Ailuropoda	Extant	3.6	2.588
Ailuropoda	Extant	0.781	0.126
Ailuropoda	Extant	0.126	0.0117
Ailuropoda	Extant	0.126	0.0117
Ailuropoda	Extant	0.781	0.126
Ailuropoda	Extant	0.781	0.126
Ailuropoda	Extant	2.588	0.0117
Algarolutra	Extinct	2.588	0.0117
Algarolutra	Extinct	2.588	0.0117
Algarolutra	Extinct	0.781	0.0117
Allohyaena	Extinct	8.7	7.75
Allohyaena	Extinct	8.7	7.75
Alopecocyon	Extinct	15.97	11.62
Alopecocyon	Extinct	15.97	11.62
Alopecocyon	Extinct	13.65	12.75
Alopecocyon	Extinct	13.6	10.3
Alopecocyon	Extinct	11.1	9.7
Alopecocyon	Extinct	16.9	15.97
Alopecocyon	Extinct	28.4	23.03
Alopecocyon	Extinct	23.03	5.333
Alopex	Extant	1.8	0.3
Alopex	Extant	0.126	0.0117
Alopex	Extant	0.126	0.0117
Alopex	Extant	5.333	0.0117
Alopex	Extant	0.126	0.0117
Alopex	Extant	0.126	0.0117
Alopex	Extant	0.0117	0
Alopex	Extant	0.126	0.0117
Alopex	Extant	0.0117	0
Alopex	Extant	0.0117	0
Alopex	Extant	0.0117	0
Alopex	Extant	0.0117	0
Alopex	Extant	0.0117	0
Amphictis	Extinct	28.4	23.03
Amphictis	Extinct	15.97	13.65
Amphictis	Extinct	23.03	22.4
Amphictis	Extinct	23.03	22.4
Amphictis	Extinct	23.03	22.4
Amphictis	Extinct	22.4	20
Amphictis	Extinct	22.4	20
Amphictis	Extinct	22.4	20
Amphictis	Extinct	20.44	15.97
Amphictis	Extinct	28.4	23.03
Amphictis	Extinct	20.43	15.97
Amphictis	Extinct	15.97	7.246
Amphicyon	Extinct	15.97	11.608
Amphicyon	Extinct	11.608	5.333
Amphicyon	Extinct	15.97	13.6
Amphicyon	Extinct	20.43	15.97
Amphicyon	Extinct	15.97	13.6
Amphicyon	Extinct	15.97	13.6
Amphicyon	Extinct	20.43	15.97
Amphicyon	Extinct	20.43	15.97
Amphicyon	Extinct	20.43	15.97
Amphicyon	Extinct	20.43	15.97
Amphicyon	Extinct	20.43	15.97
Amphicyon	Extinct	15.97	13.6
Amphicyon	Extinct	20.43	15.97
Amphicyon	Extinct	20.43	15.97
Amphicyon	Extinct	20.43	15.97
Amphicyon	Extinct	20.43	15.97
Amphicyon	Extinct	23.03	5.333
Amphicyon	Extinct	15.97	13.6
Amphicyon	Extinct	23.03	5.333
Amphicyon	Extinct	23.03	5.333
Amphicyon	Extinct	15.97	13.6
Amphicyon	Extinct	23.03	5.333
Amphicyon	Extinct	23.03	5.333
Amphicyon	Extinct	15.97	13.6
Amphicyon	Extinct	15.97	13.6
Amphicyon	Extinct	15.97	13.6
Amphicyon	Extinct	15.97	13.6
Amphicyon	Extinct	15.97	7.246
Amphicyon	Extinct	15.97	13.65
Amphicyon	Extinct	15.97	11.62
Amphicyon	Extinct	20.43	15.97
Amphicyon	Extinct	20.43	15.97
Amphicyon	Extinct	20.43	15.97
Amphicyon	Extinct	20.44	15.97
Amphicyon	Extinct	13.65	12.75
Amphicyon	Extinct	20.44	15.97
Amphicyon	Extinct	11.608	8.7
Amphicyon	Extinct	11.608	8.7
Amphicyon	Extinct	15.97	11.608
Amphicyon	Extinct	15.97	5.333
Amphicyon	Extinct	20.44	15.97
Amphicyon	Extinct	11.62	7.246
Amphicyon	Extinct	23.03	15.97
Amphicyon	Extinct	20.44	15.97
Amphicyon	Extinct	15.97	11.608
Amphicyon	Extinct	13.65	11.1
Amphicyon	Extinct	13.82	7.246
Amphicyon	Extinct	16.9	15.97
Amphicyon	Extinct	16.9	15.97
Amphicyon	Extinct	16.9	15.97
Amphicyon	Extinct	16.9	15.97
Amphicyon	Extinct	16.9	15.97
Amphicyon	Extinct	16.9	15.97
Amphicyon	Extinct	13.65	12.75
Amphicyon	Extinct	13.65	12.75
Amphicyon	Extinct	13.65	11.1
Amphicyon	Extinct	16.9	15.97
Amphicyon	Extinct	23.03	15.97
Amphicyon	Extinct	13.65	12.75
Amphicyon	Extinct	15.97	13.82
Amphicyon	Extinct	13.82	11.62
Amphicyon	Extinct	20.44	15.97
Amphicyon	Extinct	15.97	13.65
Amphicyon	Extinct	5.333	2.588
Amphicyon	Extinct	20	16.9
Amphicyon	Extinct	16.9	15.97
Amphicyon	Extinct	16.9	15.97
Amphicyon	Extinct	16.9	15.97
Amphicyon	Extinct	20	15.97
Amphicyon	Extinct	15.97	11.608
Amphicyon	Extinct	20.44	15.97
Amphicyon	Extinct	15.97	13.82
Amphicyon	Extinct	15.97	13.6
Amphicyon	Extinct	20.43	15.97
Amphicyon	Extinct	16.9	15.97
Amphicyon	Extinct	28.4	23.03
Amphicyon	Extinct	28.1	23.03
Amphicyon	Extinct	15.97	13.82
Amphicyon	Extinct	20.44	7.246
Amphicyon	Extinct	20.44	7.246
Amphicyon	Extinct	20	15.97
Amphicyon	Extinct	15.97	7.246
Amphicyon	Extinct	15.97	11.62
Amphicyon	Extinct	15.97	11.608
Amphicyon	Extinct	15.97	11.608
Amphicyon	Extinct	15.97	12.75
Amphicyon	Extinct	15.97	13.82
Amphicyon	Extinct	11.608	5.333
Amphicyon	Extinct	28.4	23.03
Amphicyon	Extinct	11.62	7.246
Amphicyon	Extinct	13.6	10.3
Amphicyon	Extinct	20.43	15.97
Amphimachairodus	Extinct	10.3	4.9
Amphimachairodus	Extinct	10.3	4.9
Amphimachairodus	Extinct	10.3	4.9
Amphimachairodus	Extinct	10.3	4.9
Amphimachairodus	Extinct	10.3	4.9
Amphimachairodus	Extinct	10.3	4.9
Amphimachairodus	Extinct	13.6	4.9
Amphimachairodus	Extinct	13.6	4.9
Amphimachairodus	Extinct	10.3	4.9
Amphimachairodus	Extinct	10.3	4.9
Amphimachairodus	Extinct	10.3	4.9
Amphimachairodus	Extinct	10.3	4.9
Amphimachairodus	Extinct	10.3	4.9
Amphimachairodus	Extinct	10.3	4.9
Amphimachairodus	Extinct	10.3	4.9
Amphimachairodus	Extinct	8.7	5.333
Amphimachairodus	Extinct	10.3	4.9
Amphimachairodus	Extinct	5.333	3.6
Amphimachairodus	Extinct	11.608	5.333
Amphimachairodus	Extinct	11.608	5.333
Amphimachairodus	Extinct	10.3	4.9
Amphimachairodus	Extinct	8.7	5.333
Amphimachairodus	Extinct	11.608	5.333
Amphimachairodus	Extinct	10.3	4.9
Angustictis	Extinct	23.03	22.4
Angustictis	Extinct	22.4	20
Aonyx	Extant	0.781	0.126
Aonyx	Extant	0.0117	0
Aonyx	Extant	0.126	0.0117
Arctodus	Extant	4.9	0.3
Arctodus	Extant	4.9	1.8
Arctodus	Extant	4.9	1.8
Arctodus	Extant	2.588	1.806
Arctodus	Extant	4.9	1.8
Arctodus	Extant	4.9	1.8
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	1.8	0.3
Arctodus	Extant	2.588	0.0117
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	1.8	0.3
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	2.588	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.781	0.126
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	2.588	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0
Arctodus	Extant	2.588	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	2.588	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	1.806	0.781
Arctodus	Extant	0.126	0.0117
Arctodus	Extant	2.588	0.0117
Arctomeles	Extinct	5.333	3.6
Arctomeles	Extinct	4.2	3.2
Arctomeles	Extinct	4.2	2.588
Arctomeles	Extinct	10.3	1.8
Arctonasua	Extinct	15.97	13.6
Arctonasua	Extinct	15.97	13.6
Arctonasua	Extinct	15.97	13.6
Arctonasua	Extinct	13.6	10.3
Arctonasua	Extinct	15.97	13.6
Arctonasua	Extinct	10.3	4.9
Arctonasua	Extinct	15.97	13.6
Arctonasua	Extinct	10.3	4.9
Arctonasua	Extinct	13.6	10.3
Arctonasua	Extinct	15.97	13.6
Arctonasua	Extinct	10.3	4.9
Arctonyx	Extant	0.781	0.0117
Arctonyx	Extant	0.126	0.0117
Arctonyx	Extant	2.588	0.781
Arctonyx	Extant	0.781	0.0117
Arctonyx	Extant	0.781	0.126
Arctonyx	Extant	0.781	0.126
Arctonyx	Extant	0.126	0.0117
Arctonyx	Extant	0.781	0.126
Arctotherium	Extinct	4.9	1.8
Arctotherium	Extinct	0.126	0.0117
Arikarictis	Extinct	30.8	20.43
Arikarictis	Extinct	24.8	20.43
Asiavorator	Extinct	37.2	33.9
Asiavorator	Extinct	33.9	28.4
Asiavorator	Extinct	33.9	28.4
Asiavorator	Extinct	28.4	23.03
Asiavorator	Extinct	33.9	28.4
Baranogale	Extinct	4.9	4.2
Baranogale	Extinct	3.2	2.588
Baranogale	Extinct	5.333	2.588
Baranogale	Extinct	3.2	2.588
Baranogale	Extinct	8.7	5.333
Baranogale	Extinct	4.2	3.2
Baranogale	Extinct	3.2	2.588
Baranogale	Extinct	3.2	2.588
Baranogale	Extinct	2.588	1.806
Baranogale	Extinct	3.2	2.588
Baranogale	Extinct	5.333	0.0117
Baranogale	Extinct	7.246	5.333
Barbourofelis	Extinct	10.3	4.9
Barbourofelis	Extinct	13.6	10.3
Barbourofelis	Extinct	10.3	4.9
Barbourofelis	Extinct	13.6	10.3
Barbourofelis	Extinct	13.6	10.3
Barbourofelis	Extinct	13.6	10.3
Barbourofelis	Extinct	13.6	4.9
Barbourofelis	Extinct	13.6	10.3
Barbourofelis	Extinct	10.3	4.9
Barbourofelis	Extinct	13.6	10.3
Barbourofelis	Extinct	13.6	10.3
Barbourofelis	Extinct	13.6	10.3
Barbourofelis	Extinct	13.6	10.3
Barbourofelis	Extinct	13.6	10.3
Barbourofelis	Extinct	10.3	4.9
Bassaricyon	Extant	0.0117	0
Bassaricyonoides	Extinct	20.43	15.97
Bassaricyonoides	Extinct	20.43	15.97
Bassaricyonoides	Extinct	20.43	15.97
Bassariscus	Extant	20.43	15.97
Bassariscus	Extant	15.97	13.6
Bassariscus	Extant	10.3	4.9
Bassariscus	Extant	15.97	13.6
Bassariscus	Extant	10.3	4.9
Bassariscus	Extant	15.97	13.6
Bassariscus	Extant	15.97	13.6
Bassariscus	Extant	15.97	13.6
Bassariscus	Extant	15.97	13.6
Bassariscus	Extant	15.97	13.6
Bassariscus	Extant	15.97	13.6
Bassariscus	Extant	13.6	10.3
Bassariscus	Extant	13.6	10.3
Bassariscus	Extant	4.9	1.8
Bassariscus	Extant	4.9	1.8
Bassariscus	Extant	4.9	1.8
Bassariscus	Extant	4.9	1.8
Bassariscus	Extant	4.9	1.8
Bassariscus	Extant	4.9	1.8
Bassariscus	Extant	4.9	1.8
Bassariscus	Extant	4.9	1.8
Bassariscus	Extant	4.9	1.8
Bassariscus	Extant	4.9	1.8
Bassariscus	Extant	4.9	1.8
Bassariscus	Extant	1.8	0.012
Bassariscus	Extant	0.126	0.0117
Bassariscus	Extant	1.8	0.3
Bassariscus	Extant	15.97	10.3
Bassariscus	Extant	0.0117	0
Bassariscus	Extant	0.126	0.0117
Bassariscus	Extant	0.126	0.0117
Bassariscus	Extant	0.0117	0
Bassariscus	Extant	0.126	0.0117
Bassariscus	Extant	0.126	0.0117
Bassariscus	Extant	0.126	0
Bassariscus	Extant	15.97	13.6
Bassariscus	Extant	15.97	13.6
Bassariscus	Extant	15.97	13.6
Bassariscus	Extant	15.97	13.6
Bassariscus	Extant	0.126	0.0117
Bassariscus	Extant	23.03	5.333
Bassariscus	Extant	20.43	15.97
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	23.03	5.333
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	23.03	5.333
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	1.8
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	23.03	5.333
Borophagus	Extinct	23.03	5.333
Borophagus	Extinct	23.03	5.333
Borophagus	Extinct	23.03	5.333
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	5.333	3.6
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	23.03	5.333
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	13.6	10.3
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	23.03	5.333
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	11.608	5.333
Borophagus	Extinct	23.03	5.333
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	10.3	4.9
Borophagus	Extinct	13.6	10.3
Borophagus	Extinct	13.6	10.3
