	Polgardia		Thaumastocyon	Lophocyon	
	Potamotherium		Ursavus	Eira	
	Potos		Ursulus	Pekania	
	Pristinailurus		Ursus	Marcetia	
	Probassariscus		Viretailurus	Paguma	
	Procyon		Viretictis	Trigonictis	
	Promartes		Vishnufelis	Sardolutra	
	Promeles		Vishnuictis	Amphictis	
	Promephitis		Viverra	Cynogale	
	Proputorius		Viverrictis	Psalidocyon	
	Protarctos		Viverricula	Alopex	
	Protoprocyon		Ysengrinia	Oligobunis	
	Protursus		Zaragocyon	Taxidea	
	Puijila		Alopex	Ailurus	
	Putorius		Canis	Paradaphoenus	
	Rhodanictis		Cuon	Prionailurus	
	Sabadellictis		Cynotherium	Alopecocyon	
	Sardolutra		Eucyon	Cerdocyon	
	Satherium		Gobicyon	Puijila	
	Semantor		Lycaon	Megaviverra	
	Siamogale		Nyctereutes	Parailurus	
	Simocyon		Thos	Mionictis	
	Sinictis		Vulpes	Probassariscus	
	Sivaonyx		Xenocyon	Laphyctis	
	Sminthosinis		Aelurocyon	Felis	
	Spilogale		Ailurus	Siamogale	
	Sthenictis		Algarolutra	Phlaocyon	
	Stromeriella		Alopecocyon	Lutravus	
	Taxidea		Amblonyx	Canimartes	
	Taxodon		Amphictis	Iberictis	
	Teruelictis		Anatolictis	Magerictis	
	Tisisthenes		Angustictis	Procyon	
	Trigonictis		Aonyx	Rhodanictis	
	Trocharion		Arctomeles	Vishnuonyx	
	Trochictis		Arctonyx	Desmocyon	
	Trochotherium		Baranogale	Brachypsalis	
	Tyrrhenolutra		Bathygale	Protictitherium	
	Vishnuonyx		Broiliana	Trochotherium	
	Vormela		Circamustela	Metatomarctus	
	Watay		Cyrnaonyx	Arctonasua	
	Xenictis		Eirictis	Promartes	
	Zodiolestes		Enhydra	Potamotherium	
			Enhydrictis	Lartetictis	
			Enhydriodon	Cynarctus	
			Eomellivora	Teruelictis	
			Franconictis	Ischyrictis	
			Gaillardina	Parabrachypsalis	
			Grivamephitis	Arctonyx	
			Gulo	Limnonyx	
			Hadrictis	Eirictis	
			Hoplictis	Plioviverrops	
			Iberictis	Nyctereutes	
			Ischyrictis	Schlossericyon	
			Laphyctis	Lontra	
			Lartetictis	Tyrrhenolutra	
			Leptarctus	Protomarctus	
			Limnonyx	Bassicyonoides	
			Lutra	Metalopex	
