scientificName	BodyMass
Acinonyx	54.0897915731414
Actiocyon	31.1066822504686
Adcrocuta	29.4270313810741
Adilophontes	137.499999999999
Aelurocyon	9.41625441412902
Aelurodon	48.525165609283
Afrosmilus	12.6735348218065
Agnotherium	376.43965102487
Agriarctos	148.645422976861
Agriotherium	396.960983887938
Ailurarctos	179.5359657083
Ailuropoda	108.400000000001
Ailurus	4.9
Aktaucyon	141.305903432019
Albanosmilus	102.942903289159
Algarolutra	9.61036243000871
Allohyaena	62.2608133111458
Alopecocyon	6.20641790946288
Alopex	4.87
Amblonyx	1.75
Amphictis	4.39094010210388
Amphicyon	354.476835835506
Amphicyonopsis	353.339872342421
Amphimachairodus	157.623194236854
Anatolictis	3.41965159545276
Angustictis	3.12862807262671
Aonyx	15.3719032648636
Arctictis	9.875
Arctodus	130.853014115509
Arctogalidia	2.25
Arctomeles	5.10148092201947
Arctonasua	4.61532326643025
Arctonyx	7.00500000000001
Arctotherium	298.379589432287
Arikarictis	1.29579718618994
Asiavorator	2.47537675396615
Ballusia	29.2359943069397
Baranogale	0.920188994923333
Barbourofelis	157.152726236992
Bassaricyon	1.256
Bassaricyonoides	1.84750059338133
Bassariscus	1.45750015409303
Bassicyonoides	1.21539332728182
Bathygale	3.60948886982416
Borophagus	31.7420698800813
Brachyopsigale	1.34523215918761
Brachyprotoma	0.271119855755429
Brachypsalis	6.39856665628377
Brevimalictis	1.16675023045062
Broiliana	2.45600369810973
Buisnictis	0.571057277740888
Canimartes	10.1591154426504
Canis	19.8312618515064
Caracal	12.2
Carpocyon	29.0126376472998
Cephalogale	31.6876484725132
Cerdocyon	7.50242688518104
Cernictis	2.31224827502772
Chamitataxus	5.62652521570551
Chasmaporthetes	49.6937796162691
Chrysocyon	24.7975751502396
Circamustela	3.12319485369941
Conepatus	1.2
Cormocyon	4.8181530712451
Crassidia	570.628957040119
Craterogale	1.45500836490078
Crocuta	79.9813323383894
Cryptailurus	30.3031077200069
Cuon	12.7599999999999
Cynarctoides	1.38903675981847
Cynarctus	25.8625245303372
Cynelos	42.6906679792242
Cynogale	4.5
Cynotherium	30.3207047816139
Cyrnaonyx	25.0556471915958
Daphoenodon	46.2906319912261
Daphoenus	16.8126387536595
Delotrochanter	73.0363749627951
Desmocyon	15.4089066136306
Dinocrocuta	75.4367287629809
Dinocyon	231.349503407387
Dinofelis	255.360060470399
Dinogale	0.932838730857469
Ectopocynus	27.4834701409347
Edaphocyon	3.41417062937285
Eira	3.91
Eirictis	2.52270297727862
Enhydra	16.3490344137483
Enhydrictis	1.36527671514049
Enhydriodon	35.9581714222959
Enhydritherium	27.61244994593
Enhydrocyon	22.9660946607639
Eomellivora	14.3077765246826
Epicyon	88.2507008797456
Epimachairodus	37.1481873501036
Euboictis	0.93339897694332
Eucyon	9.17187665617281
Euoplocyon	19.4045675979858
Euplocyon	1.03181369350605
Felis	5.5
Ferinestrix	13.6237010000887
Ferrucyon	8.37370566807448
Floridictis	4.62818785914171
Franconictis	1.33002092525271
Gaillardina	12.7853215870346
Gobicyon	378.916192339731
Goupilictis	27.3356753030462
Grivamephitis	0.54649712549763
Gulo	17.013
Hadrictis	54.981677864716
Haplocyon	41.9694761537415
Haplocyonoides	233.900788668464
Helarctos	46.4999999999996
Hemicyon	56.870518382128
Herpestes	1.782
Herpestides	1.79358804454018
Hesperoviverra	15.7361373307902
Homotherium	184.999999999998
Hoplictis	8.82105391728435
Hyaena	31.323146840461
Hyaenarctis	14.9680144379709
Hyaenictis	27.6956328972017
Hyaenictitherium	36.8007997646012
Hyaenotherium	18.5584786338502
Hypsoparia	2.83063233039882
Iberictis	8.97102139016435
Ictiocyon	14.4170588812072
Ictitherium	16.8860039396519
Indarctos	328.240499768683
Ischyrictis	7.13246882719506
Ischyrocyon	250.000000000001
Jourdanictis	4.25267077305444
Kolponomos	1741.445215566
Kretzoiarctos	407.442243952375
Laphyctis	2.11277767404418
Lartetictis	4.05000117918528
Legionarictis	4.58119906589049
Leopardus	3.42
Leptarctus	3.0117348055371
Leptocyon	3.77009136839985
Leptoplesictis	1.07803381700172
Limnonyx	7.62794320219038
Lontra	8.087
Lophocyon	2.8258869663215
Lutra	6.24459861048168
Lutraeximia	8.35808058876142
Lutravus	4.17686307680409
Lutrogale	9.483
Lycaena	37.3793387587543
Lycaon	33.690678394997
Lycyaena	33.7151807783547
Lynx	13.7698013498623
Machairodus	144.576630938784
Maemohcyon	96.1955577178402
Magerictis	14.3067930749618
Magericyon	80.297742073577
Mammacyon	56.6060413525423
Marcetia	0.252976072874088
Martes	1.70827326316947
Martinogale	0.800300462002352
Matanomictis	3.38318714708391
Megalenhydris	7.26088492123098
Megalictis	9.70883114192946
Megantereon	63.7139642734633
Megaviverra	3.87939698451519
Meiniogale	475.592952750517
Meles	11.2710668574391
Melidellavus	2.10013158019036
Mellivora	8.50000000000001
Melodon	2.91034485708897
Melogale	1.56
Melursus	93.1299999999997
Mephitis	1.443
Mesocyon	18.3669395904233
Metailurus	85.0904167853895
Metalopex	5.13216900376507
Metatomarctus	24.7557308176312
Microtomarctus	45.0085934652542
Miohyaenotherium	29.4323463815672
Miomachairodus	149.560853776472
Miomaci	281.915278310538
Miomustela	0.946853919285045
Mionictis	5.21506762503371
Miracinonyx	32.6340121818742
Mustela	0.4225
Nannomephitis	0.944038202567747
Nasua	3.794
Negodiaetictis	2.02849902553057
Neofelis	20.4999999999998
Neovison	1.0675
Nimravides	108.698493580656
Nimravus	135.458149677809
Nyctereutes	8.31817681673484
Oligobunis	8.15254927051484
