Amphicyonidae	Canidae	Felidae	FeliformiaOther	Hyaenidae	Musteloidea	Ursidae	Viverridae	BodyMass	Eurasia	NAmerica	Humans	Temperature
0	0	1	0	0	0	0	0	1.29301779951565	1	0	0	0.0432849034715178
0	0	0	0	0	1	0	0	-0.695221017129775	0	1	0	-0.880812065181478
0	0	0	0	1	0	0	0	0.656563911361157	1	0	0	0.0432849034715178
1	0	0	0	0	0	0	0	1.52436778649835	0	1	0	-0.880812065181478
0	0	0	0	0	1	0	0	-1.10739607381541	1	0	0	0.0432849034715178
0	1	0	0	0	0	0	0	1.307672828184	0	1	0	-0.880812065181478
0	0	0	1	0	0	0	0	0.362189754743972	1	0	0	0.0432849034715178
1	0	0	0	0	0	0	0	2.11958808829765	1	0	0	0.0432849034715178
0	0	0	0	0	0	1	0	1.61045857510215	1	0	0	0.0432849034715178
0	0	0	0	0	0	1	0	1.87197195113252	1	1	0	-0.243637805740891
0	0	0	0	0	0	1	0	1.33121623645594	1	0	0	0.0432849034715178
0	0	0	0	0	0	1	0	1.38130696189279	1	0	0	0.0432849034715178
0	0	0	0	0	1	0	0	-0.481640487498983	1	0	0	0.0432849034715178
1	0	0	0	0	0	0	0	1.49662757288225	1	0	0	0.0432849034715178
0	0	0	1	0	0	0	0	2.06405473390333	1	0	0	0.0432849034715178
0	0	0	0	0	1	0	0	-0.0457519854161919	1	0	0	0.0432849034715178
0	0	0	0	1	0	0	0	1.55543843866932	1	0	0	0.0432849034715178
0	0	0	0	0	1	0	0	-0.462710238444002	1	1	0	-0.243637805740891
0	1	0	0	0	0	0	0	-0.485335148058753	1	1	0	-0.243637805740891
0	0	0	0	0	1	0	0	-1.10107188807526	1	0	0	0.0432849034715178
0	0	0	0	0	1	0	0	-0.551322011479781	1	1	0	-0.243637805740891
1	0	0	0	0	0	0	0	1.86363280677908	1	1	0	-0.243637805740891
1	0	0	0	0	0	0	0	1.99349036447561	1	0	0	0.0432849034715178
0	0	1	0	0	0	0	0	1.63257045450344	1	1	0	-0.243637805740891
0	0	0	0	0	1	0	0	-0.680882263700381	1	0	0	0.0432849034715178
0	0	0	0	0	1	0	0	-1.24892990425405	1	0	0	0.0432849034715178
0	0	0	0	0	1	0	0	0.219080038138692	1	0	0	0.0432849034715178
0	0	0	0	0	0	0	1	-0.0600481785103564	1	0	0	0.0432849034715178
0	0	0	0	0	0	1	0	1.77091836802952	0	1	0	-0.880812065181478
0	0	0	0	0	0	0	1	-0.949878111328838	1	0	0	0.0432849034715178
0	0	0	0	0	1	0	0	-0.167798191702849	1	1	0	-0.243637805740891
0	0	0	0	0	1	0	0	-0.335271582860288	0	1	0	-0.880812065181478
0	0	0	0	0	1	0	0	-0.266630990360792	1	0	0	0.0432849034715178
0	0	0	0	0	0	1	0	1.89643875588608	0	1	0	-0.880812065181478
0	0	0	0	0	0	1	0	0.575154569906202	1	0	0	0.0432849034715178
0	0	0	0	0	1	0	0	-1.77493067657545	1	0	0	0.0432849034715178
0	0	0	1	0	0	0	0	1.48235648246309	1	1	0	-0.243637805740891
0	0	0	0	0	1	0	0	-1.30061679537891	0	1	0	-0.880812065181478
0	0	0	0	0	1	0	0	-1.02979867340126	0	1	0	-0.880812065181478
0	0	0	0	0	1	0	0	-1.4408212890476	0	1	0	-0.880812065181478
0	0	0	0	0	1	0	0	-0.186035757643799	0	1	0	-0.880812065181478
0	0	0	0	0	1	0	0	-0.0318063092611591	1	0	0	0.0432849034715178
0	1	0	0	0	0	0	0	0.930705211545013	0	1	0	-0.880812065181478
0	0	0	0	0	1	0	0	-0.868937616432566	0	1	0	-0.880812065181478
0	0	0	0	0	1	0	0	-1.43867080561743	0	1	0	-0.880812065181478
0	0	0	0	0	1	0	0	-0.348636023520995	0	1	0	-0.880812065181478
0	0	0	0	0	1	0	0	-1.73970279325448	0	1	0	-0.880812065181478
