feature1,feature2,feature1_state,feature2_state,posterior_probability,magnitude_effect,magnitude_lwr_CI,magnitude_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
taxon,none,Amphicyonidae_Canidae,none,0.9523809523809523,1.2516887653594626,0.9542237007884554,1.4368938562304983,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Amphicyonidae_Felidae,none,1.0,0.4244379742764778,0.3039026073065781,0.6064565528685992,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Amphicyonidae_FeliformiaOther,none,0.7142857142857143,0.8454274168780012,0.654812098352605,1.111657605967419,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Amphicyonidae_Hyaenidae,none,1.0,0.6004267009940455,0.4336314624831167,0.8187532684381857,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Amphicyonidae_Musteloidea,none,1.0,0.4913692164915498,0.3840526532499793,0.6618981136539271,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Amphicyonidae_Ursidae,none,0.5238095238095238,1.0256797164569125,0.5418142118290871,1.436345929044106,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Amphicyonidae_Viverridae,none,1.0,0.5534184057038992,0.37705517846592057,0.7857494083025856,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Canidae_Felidae,none,1.0,0.34386775968815886,0.18772585218862817,0.4640345118543732,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Canidae_FeliformiaOther,none,1.0,0.6808745357441147,0.5050755403585503,0.8232220620731945,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Canidae_Hyaenidae,none,1.0,0.4868308243905302,0.3316073995873876,0.7130106269392815,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Canidae_Musteloidea,none,1.0,0.39610257893855727,0.2763994141993176,0.4962325204767834,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Canidae_Ursidae,none,0.6666666666666666,0.8357973459234367,0.4468189129493276,1.2831947007830526,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Canidae_Viverridae,none,1.0,0.4508941655305083,0.2377558945767937,0.6248711481272847,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Felidae_FeliformiaOther,none,1.0,2.050916437844539,1.5289521166954416,2.9615925712411886,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Felidae_Hyaenidae,none,0.8095238095238095,1.4974101548984866,0.7602976779478665,2.2426458678185974,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Felidae_Musteloidea,none,0.6190476190476191,1.2132316581788163,0.7448483018867443,1.8156252176441396,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Felidae_Ursidae,none,1.0,2.441566380928543,1.476174131860608,3.494799691095063,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Felidae_Viverridae,none,0.8095238095238095,1.3580112688445563,0.8138048395438697,2.131656863210334,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,FeliformiaOther_Hyaenidae,none,0.8095238095238095,0.737268615357788,0.4692946266354705,1.1710200795921495,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,FeliformiaOther_Musteloidea,none,0.9523809523809523,0.5936066146118112,0.4447090997008955,0.7858838991187148,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,FeliformiaOther_Ursidae,none,0.6666666666666666,1.2509141868319045,0.5427683896421133,1.8111960000695033,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,FeliformiaOther_Viverridae,none,0.9047619047619048,0.6813376961697777,0.36241015929987835,1.029396624347604,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
taxon,none,Hyaenidae_Musteloidea,none,0.8571428571428571,0.8398446132713847,0.5698202800780151,1.0446496129350225,0.09395085929111142,0.07433897703542676,0.11820168284724784,-68.83575700457338,-104.36894959445112,-33.50035560595359,1.0
