age	sealevel
0.896	-117.090909090909
0.898	-100.363636363636
0.9	-102.545454545455
0.902	-97.4545454545455
0.904	-86.1818181818182
0.906	-67.6363636363636
0.908	-88.7272727272727
0.91	-83.6363636363637
0.912	-72.9454545454546
0.914	-72.3636363636364
0.916	-69.0909090909091
0.918	-71.2
0.92	-76.3636363636363
0.922	-79.9272727272728
0.924	-96
0.926	-91.3454545454546
0.928	-120.218181818182
0.93	-106.4
0.932	-99.2
0.934	-85.0181818181818
0.936	-85.4545454545454
0.938	-68.3636363636364
0.94	-75.2727272727273
0.942	-64
0.944	-57.7454545454545
0.946	-57.3818181818182
0.948	-54.1818181818182
0.95	-44.1454545454546
0.952	-33.9636363636364
0.954	-27.2727272727273
0.956	-26.1090909090909
0.958	-17.3818181818182
0.96	-11.1272727272727
0.962	-13.5272727272727
0.964	-80
0.966	-47.4181818181818
0.968	-100.145454545455
0.97	-95.5636363636364
0.972	-95.5636363636364
0.974	-75.2727272727273
0.976	-75.6363636363636
0.978	-65.0181818181818
0.98	-68.7272727272727
0.982	-53.3090909090909
0.984	-54.4
0.986	-78.9090909090909
0.988	-77.9636363636364
0.99	-74.5454545454546
0.992	-76.1454545454545
0.994	-85.7454545454546
0.996	-77.4545454545455
0.998	-63.8545454545455
1	-56.5818181818182
1.002	-55.6363636363636
1.004	-58.0363636363636
1.006	-73.7454545454546
1.008	-66.9090909090909
1.01	-76.6545454545455
1.012	-79.4909090909091
1.014	-76.5818181818182
1.016	-80.7272727272728
1.018	-63.4909090909091
1.02	-62.9090909090909
1.022	-47.3454545454545
1.024	-43.6363636363636
1.026	-53.0909090909091
1.028	-47.2
1.03	-56.8727272727273
1.032	-63.4909090909091
1.034	-84.5090909090909
1.036	-95.2727272727273
1.038	-106.4
1.04	-105.818181818182
1.042	-89.2363636363637
1.044	-101.890909090909
1.046	-97.8181818181818
1.048	-95.7090909090909
1.05	-100.363636363636
1.052	-96.6545454545454
1.054	-94.0363636363637
1.056	-92.5818181818182
1.058	-78.9090909090909
1.06	-65.1636363636364
1.062	-51.4909090909091
1.064	-58.2545454545455
1.066	-47.2727272727273
1.068	-39.2727272727273
1.07	-20.6545454545454
1.072	-29.8181818181818
1.074	-26.8363636363637
1.076	-38.5454545454545
1.078	-50.1818181818182
1.08	-43.1272727272727
1.082	-56.5818181818182
1.084	-70.9090909090909
1.086	-64.5818181818182
1.088	-70.1818181818182
1.09	-78.9818181818182
1.092	-69.0909090909091
1.094	-65.6727272727272
1.096	-74.5454545454546
1.098	-82.1818181818182
1.1	-106.909090909091
1.102	-90.1818181818182
1.104	-69.8909090909091
1.106	-81.6727272727273
1.108	-64.3636363636363
1.11	-77.9636363636364
1.112	-51.2
1.114	-70.9090909090909
1.116	-53.6727272727273
1.118	-69.5272727272728
1.12	-69.0909090909091
1.122	-95.4181818181818
1.124	-115.636363636364
1.126	-108.654545454545
1.128	-98.0363636363636
1.13	-80.5090909090909
1.132	-97.3090909090909
1.134	-102.254545454545
1.136	-96.9454545454546
1.138	-74.1818181818182
1.14	-70.5454545454545
1.142	-73.0909090909091
1.144	-75.5636363636363
1.146	-71.6363636363637
1.148	-67.6363636363636
1.15	-67.2727272727273
1.152	-66.9818181818182
1.154	-56.7272727272727
1.156	-37.8181818181818
1.158	-53.8181818181818
1.16	-34.9090909090909
1.162	-42.8363636363636
1.164	-34.1818181818182
1.166	-40.8
1.168	-36.3636363636364
1.17	-34.6909090909091
1.172	-55.4909090909091
1.174	-43.6363636363636
1.176	-46.8363636363637
1.178	-47.0545454545454
1.18	-43.7818181818182
1.182	-48.0727272727273
1.184	-48.3636363636364
1.186	-48
1.188	-94.2545454545455
1.19	-98.2545454545455
1.192	-107.927272727273
1.194	-113.672727272727
1.196	-118.545454545455
1.198	-102.618181818182
1.2	-110.909090909091
1.202	-108.145454545455
1.204	-101.018181818182
1.206	-89.9636363636364
1.208	-90.9090909090909
1.21	-69.0909090909091
1.212	-76
1.214	-16
1.216	-73.8181818181818
1.218	-75.1272727272728
1.22	-53.3090909090909
1.222	-56.5090909090909
1.224	-41.4545454545454
1.226	-46.3272727272727
1.228	-53.0909090909091
1.23	-44.1454545454546
1.232	-23.2727272727273
1.234	-26.5454545454546
1.236	-33.0909090909091
1.238	-16
1.24	-39.6363636363636
1.242	-39.2727272727273
1.244	-36.3636363636364
1.246	-85.0909090909091
1.248	-97.8181818181818
1.25	-110.545454545455
1.252	-108.727272727273
1.254	-106.909090909091
1.256	-125.090909090909
1.258	-82.1818181818182
1.26	-82.9090909090909
1.262	-71.2727272727273
1.264	-68.8727272727273
1.266	-66.5454545454546
1.268	-67.6363636363636
1.27	-68.7272727272727
1.272	-58.9090909090909
1.274	-58.1818181818182
1.276	-57.4545454545455
1.278	-48
1.28	-38.9090909090909
1.282	-43.1272727272727
1.284	-47.7818181818182
1.286	-68.3636363636364
1.288	-65.0909090909091
1.29	-65.0909090909091
1.292	-82.9090909090909
1.294	-77.0909090909091
1.296	-80.3636363636364
1.298	-83.6363636363637
1.3	-50.1818181818182
1.302	-78.5454545454546
1.304	-74.1818181818182
1.306	-76
1.308	-65.0909090909091
1.31	-54.1818181818182
1.312	-51.8545454545455
1.314	-54.5454545454545
1.316	-47.4909090909091
1.318	-53.6
1.32	-69.3090909090909
1.322	-72.2181818181818
1.324	-81.4545454545455
1.326	-78.9090909090909
1.328	-85.0909090909091
1.33	-110.545454545455
1.332	-59.6363636363637
1.334	-83.2727272727273
1.336	-75.1272727272728
1.338	-66.9090909090909
1.34	-62.9090909090909
1.342	-58.9090909090909
1.344	-49.0909090909091
1.346	-57.4545454545455
1.348	-65.8181818181818
1.35	-25.4545454545455
1.352	-60.3636363636364
1.354	-34.9090909090909
1.356	-19.2727272727273
1.358	0.799999999999997
1.36	-8.72727272727274
1.362	-44.3636363636364
1.364	-26.1818181818182
1.366	-42.9090909090909
1.368	-57.9636363636363
1.37	-60.5090909090909
1.372	-63.0545454545455
1.374	-72
1.376	-70.5454545454545
1.378	-84.3636363636364
1.38	-93.8181818181818
1.382	-80.3636363636364
1.384	-88.5090909090909
1.386	-77.0909090909091
1.388	-68.3636363636364
1.39	-58.5454545454545
1.392	-18.1818181818182
1.394	-51.6363636363636
1.396	-42.1818181818182
1.398	-46.1818181818182
1.4	-34.5454545454546
1.402	-28.7272727272727
1.404	-29.8181818181818
1.406	-57.4545454545455
1.408	-62.5454545454546
1.41	-88
1.412	-78.9090909090909
1.414	-88.3636363636364
1.416	-83.8545454545454
1.418	-69.4545454545455
1.42	-70.9090909090909
1.422	-72.3636363636364
1.424	-51.1272727272727
1.426	-34.1818181818182
1.428	-55.6363636363636
1.43	-29.8181818181818
1.432	-32
1.434	-25.4545454545455
1.436	10.4
1.438	1.99999999999999
1.44	-26.1818181818182
1.442	2.59999999999999
1.444	-10.9090909090909
1.446	-14.5454545454546
1.448	-8.72727272727274
1.45	-19.6363636363636
1.452	-64.7272727272727
1.454	-88.3636363636364
1.456	-93.2363636363636
1.458	-98.1818181818182
1.46	-98.1818181818182
1.462	-89.4545454545455
1.464	-83.6363636363637
1.466	-57.4545454545455
1.468	-74.1818181818182
1.47	-28
1.472	-70.5454545454545
1.474	-49.4545454545455
1.476	-43.6363636363636
1.478	-37.8181818181818
1.48	-33.8181818181818
1.482	-29.8181818181818
1.484	-23.2727272727273
1.486	1.19999999999999
1.488	-15.2727272727273
1.49	-8.36363636363638
1.492	-1.45454545454546
1.494	-13.8181818181818
1.496	-26.1818181818182
1.498	-25.0181818181818
1.5	-23.8545454545454
1.502	-22.6909090909091
1.504	-21.5272727272727
1.506	-20.3636363636364
1.508	-31.2727272727273
1.51	-42.1818181818182
1.512	-53.0909090909091
1.514	-64
1.516	-56.9454545454546
1.518	-49.9636363636364
1.52	-41.4545454545454
1.522	-58.5454545454545
1.524	-32
1.526	-48.7272727272727
1.528	-56
1.53	-95.4909090909091
1.532	-64
1.534	-84
1.536	-55.2727272727273
1.538	-66.9090909090909
1.54	-78.5454545454546
1.542	-74.1818181818182
1.544	-44.5818181818182
1.546	-51.7818181818182
1.548	-58.9090909090909
1.55	-48
1.552	-60.3636363636364
1.554	-72.7272727272727
1.556	-64.7272727272727
1.558	-65.0909090909091
1.56	-65.4545454545455
1.562	-23.2727272727273
1.564	-44.7272727272727
1.566	-42.1818181818182
1.568	-36.3636363636364
1.57	-45.8181818181818
1.572	-79.2727272727273
1.574	-81.4545454545455
1.576	-77.8181818181818
1.578	-84.3636363636364
1.58	-79.4909090909091
1.582	-74.6909090909091
1.584	-69.8181818181818
1.586	-54.1818181818182
1.588	-54.9818181818182
1.59	-55.7818181818182
1.592	-56.5818181818182
1.594	-57.3090909090909
1.596	-58.1090909090909
1.598	-58.9090909090909
1.6	-63.2727272727273
1.602	-50.1818181818182
1.604	-58.1818181818182
1.606	-30.5454545454545
1.608	-32.7272727272727
1.61	-46.1818181818182
1.612	-29.0909090909091
1.614	-53.0909090909091
1.616	-40
1.618	-63.2727272727273
1.62	-52.7272727272727
1.622	-58.9090909090909
1.624	-43.6363636363636
1.626	-45.8181818181818
1.628	-51.8545454545455
1.63	-67.8545454545454
1.632	-60.3636363636364
1.634	-68.7272727272727
1.636	-22.5454545454545
1.638	-40.9454545454546
1.64	-30.5454545454545
1.642	-28.7272727272727
1.644	-29.0909090909091
1.646	-59.6363636363637
1.648	-40.7272727272727
1.65	-83.6363636363637
1.652	-100.363636363636
1.654	-81.4545454545455
1.656	-96.7272727272727
1.658	-58.6909090909091
1.66	-69.0909090909091
1.662	-92.3636363636363
1.664	-82.1818181818182
1.666	-75.4181818181818
1.668	-68.5818181818182
1.67	-88
1.672	-97.4545454545455
1.674	-62.7636363636364
1.676	-79.2727272727273
1.678	-57.2363636363636
1.68	-53.8181818181818
1.682	-48.1454545454545
1.684	-42.4
1.686	-36.7272727272727
1.688	-48
1.69	-44
1.692	-40
1.694	-40.5090909090909
1.696	-58.9090909090909
1.698	-17.4545454545455
1.7	-57.4545454545455
1.702	-56
1.704	-83.6363636363637
1.706	-100.363636363636
1.708	-83.2727272727273
1.71	-66.1818181818182
1.712	-58.9090909090909
1.714	-43.4181818181818
1.716	-44.1454545454546
1.718	-28.0727272727273
1.72	-12
1.722	-41.4545454545454
1.724	-56.7272727272727
1.726	-64
1.728	-54.5454545454545
1.73	-45.0909090909091
1.732	-49.4545454545455
1.734	-47.6363636363636
1.736	-28.7272727272727
1.738	-64.1454545454545
1.74	-99.6363636363636
1.742	-90.1818181818182
1.744	-72.7272727272727
1.746	-58.1818181818182
1.748	-96
1.75	-63.6363636363636
1.752	-31.2727272727273
1.754	-74.5454545454546
1.756	-37.8181818181818
1.758	-16.5818181818182
1.76	2.59999999999999
1.762	-1.96363636363637
1.764	-8.72727272727274
1.766	-26.9090909090909
1.768	-13.0909090909091
1.77	-29.8181818181818
1.772	-28
1.774	-26.1818181818182
1.776	-29.0909090909091
1.778	-22.9090909090909
1.78	-16.7272727272727
1.782	-38.5454545454545
1.784	-60.3636363636364
1.786	-61.4545454545454
1.788	-62.5454545454546
1.79	-81.4545454545455
1.792	-100.363636363636
1.794	-102.545454545455
1.796	-55.6363636363636
1.798	-77.0909090909091
1.8	-58.5454545454545
1.802	-42.9090909090909
1.804	-53.2363636363637
1.806	-63.6363636363636
1.808	-50.1818181818182
1.81	-56
1.812	-36.3636363636364
1.814	-35.6363636363637
1.816	-36.3636363636364
1.818	-45.8181818181818
1.82	-53.8181818181818
1.822	-47.6363636363636
1.824	-41.4545454545454
1.826	-50.1818181818182
1.828	-36.3636363636364
1.83	-125.090909090909
1.832	-44.8727272727273
1.834	-47.7818181818182
1.836	-50.6909090909091
1.838	-96
1.84	-80
1.842	-106.909090909091
1.844	-81.6727272727273
1.846	-72.3636363636364
1.848	-64.7272727272727
1.85	-60
1.852	-50.1818181818182
1.854	-66.1818181818182
1.856	-38.9090909090909
1.858	-51.2727272727273
1.86	-59.4181818181818
1.862	-72
1.864	-82.9090909090909
1.866	-48.7272727272727
1.868	-55.2727272727273
1.87	-45.0909090909091
1.872	-61.0909090909091
1.874	-51.1272727272727
1.876	-50.6909090909091
1.878	-50.1818181818182
1.88	-35.2727272727273
1.882	-49.0909090909091
1.884	-37.8181818181818
1.886	-34.1818181818182
1.888	-43.6363636363636
1.89	-28.3636363636364
1.892	-36.7272727272727
1.894	-26.5454545454546
1.896	-44.7272727272727
1.898	-47.4909090909091
1.9	-61.8181818181818
1.902	-65.4545454545455
1.904	-69.0909090909091
1.906	-88
1.908	-96
1.91	-77.8181818181818
1.912	-70.5454545454545
1.914	-66.1818181818182
1.916	-67.1272727272727
1.918	-68
1.92	-84.3636363636364
1.922	-45.8181818181818
1.924	-55.0545454545454
1.926	-64.3636363636363
1.928	-58.9090909090909
1.93	-41.4545454545454
1.932	-40
1.934	-37.0909090909091
1.936	-32.7272727272727
1.938	-36
1.94	-57.4545454545455
1.942	-34.1818181818182
1.944	-43.7818181818182
1.946	-53.4545454545455
1.948	-66.1818181818182
1.95	-87.2727272727273
1.952	-91.4181818181818
1.954	-55.2727272727273
1.956	-58.1818181818182
1.958	-49.6727272727273
1.96	-52.8727272727273
1.962	-61.4545454545454
1.964	-50.1818181818182
1.966	-49.4545454545455
1.968	-46.9090909090909
1.97	-35.6363636363637
1.972	-21.8181818181818
1.974	-23.2727272727273
1.976	-23.2727272727273
1.978	-32
1.98	-40.0727272727273
1.982	-48.2181818181818
1.984	-56.2909090909091
1.986	-64.3636363636363
1.988	-120.727272727273
1.99	-69.0909090909091
1.992	-70.5454545454545
1.994	-83.6363636363637
1.996	-46.5454545454546
1.998	-74.1818181818182
2	-52.3636363636364
2.002	-72.7272727272727
2.004	-56
2.006	-45.8181818181818
2.008	-48.3636363636364
2.01	-40
2.012	-62.1818181818182
2.014	-60.3636363636364
2.016	-28.5818181818182
2.018	-32.7272727272727
2.02	-31.2727272727273
2.022	-21.0909090909091
2.024	-13.0909090909091
2.026	-28.3636363636364
2.028	-24.5090909090909
2.03	-41.8181818181818
2.032	-33.8181818181818
2.034	-57.4545454545455
2.036	-57.4545454545455
2.038	-59.8545454545455
2.04	-66.9090909090909
2.042	-57.6727272727273
2.044	-32
2.046	-30.9090909090909
2.048	-29.8181818181818
2.05	-42.5454545454545
2.052	-37.0909090909091
2.054	-29.0909090909091
2.056	-22.1818181818182
2.058	-40.7272727272727
2.06	-49.2363636363636
2.062	-81.4545454545455
2.064	-59.6363636363637
2.066	-85.8181818181818
2.068	-90.1818181818182
2.07	-90.5454545454545
2.072	-100.363636363636
2.074	-84
2.076	-82.9090909090909
2.078	-69.0909090909091
2.08	-86.9090909090909
2.082	-69.0909090909091
2.084	-76.3636363636363
2.086	-64
2.088	-78.5454545454546
2.09	-32
2.092	-37.0909090909091
2.094	-48.5090909090909
2.096	-38.1818181818182
2.098	-31.2727272727273
2.1	-8.72727272727274
2.102	-21.8181818181818
2.104	-28.2181818181818
2.106	-34.5454545454546
2.108	-57.4545454545455
2.11	-42.5454545454545
2.112	-43.7818181818182
2.114	-45.0909090909091
2.116	-39.6363636363636
2.118	-30.0363636363636
2.12	-37.2363636363636
2.122	-44.3636363636364
2.124	-41.8181818181818
2.126	-45.8181818181818
2.128	-63.2727272727273
2.13	-63.4909090909091
2.132	-48.2181818181818
2.134	-32.9454545454545
2.136	-14.5454545454546
2.138	-4.36363636363637
2.14	9.08
2.142	-23.2727272727273
2.144	-37.8181818181818
2.146	-53.0909090909091
2.148	-62.5454545454546
2.15	-91.6363636363636
2.152	-109.818181818182
2.154	-96
2.156	-97.9636363636364
2.158	-95.2727272727273
2.16	-85.3090909090909
2.162	-82.6909090909091
2.164	-90.9090909090909
2.166	-75.2727272727273
2.168	-69.4545454545455
2.17	-70.5454545454545
2.172	-56
2.174	-60.7272727272727
2.176	-54.5454545454545
2.178	-34.9090909090909
2.18	-39.2727272727273
2.182	-35.8545454545454
2.184	-32.3636363636364
2.186	-17.2363636363636
2.188	-25.2363636363636
2.19	-33.2363636363636
2.192	16.8
2.194	-42.5454545454545
2.196	-75.6363636363636
2.198	-56.7272727272727
2.2	-69.4545454545455
2.202	-77.8181818181818
2.204	-61.6
2.206	-65.4545454545455
2.208	-57.6727272727273
2.21	-34.1818181818182
2.212	-35.2727272727273
2.214	-36.3636363636364
2.216	-29.0909090909091
2.218	-34.5454545454546
2.22	-40
2.222	-65.4545454545455
2.224	-42.1818181818182
2.226	-24
2.228	-33.6727272727273
2.23	-14.1818181818182
2.232	-30.4
2.234	-42.6909090909091
2.236	-60
2.238	-66.5454545454546
2.24	-81.2363636363636
2.242	-93.8181818181818
2.244	-66.9090909090909
2.246	-62.3272727272727
2.248	-46.5454545454546
2.25	-25.0909090909091
2.252	-37.6727272727273
2.254	-50.1818181818182
2.256	0.399999999999991
2.258	-11.6363636363636
2.26	-9.8181818181818
2.262	-22.5454545454545
2.264	-36
2.266	-15.2727272727273
2.268	-14.5454545454546
2.27	-13.8181818181818
2.272	-53.0909090909091
2.274	-51.6363636363636
