scientificName	higherGeography
Quercus	paleoarctic
Rhamnus	paleoarctic
Rhododendron	paleoarctic
Rhus	paleoarctic
Rosa	paleoarctic
Ruppia	paleoarctic
Salix	paleoarctic
Salvinia	paleoarctic
Sapindus	paleoarctic
Sassafras	paleoarctic
Sloanea	paleoarctic
Smilax	paleoarctic
Sparganium	paleoarctic
Spirodela	paleoarctic
Sterculia	paleoarctic
Tabernaemontana	paleoarctic
Taxodium	paleoarctic
Terminalia	paleoarctic
Thalassia	paleoarctic
Thelypteris	paleoarctic
Tilia	paleoarctic
Ulmus	paleoarctic
Viburnum	paleoarctic
Vitis	paleoarctic
Woodwardia	paleoarctic
Zannichellia	paleoarctic
Ziziphus	paleoarctic
Zostera	paleoarctic
