it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	
0	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.19478554617222732	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.13337961040446852	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796	0.061405935767758796
1000	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5377447748257416	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.5030185264121573	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429	0.03472624841358429
2000	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.5021508831379006	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.34509019936869434	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623	0.15706068376920623
3000	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.4643407326343531	0.8647877372182	0.8647877372182	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	0.2672866238388159	-0.4004470045838469	-0.4004470045838469	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372	0.1970541087955372
4000	0.4653632068440218	0.4653632068440218	0.4653632068440218	0.4653632068440218	0.6732291252354872	0.6732291252354872	0.6732291252354872	0.6732291252354872	0.6732291252354872	0.6732291252354872	0.6732291252354872	0.6732291252354872	0.6732291252354872	0.6732291252354872	0.6732291252354872	0.6732291252354872	0.6732291252354872	0.6732291252354872	0.6732291252354872	0.5510034508323745	0.5510034508323745	0.5510034508323745	0.9646111776230509	0.9646111776230509	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.1900396873876924	0.5811012153994766	-0.4992479707790291	-0.4992479707790291	0.27532351945632944	0.27532351945632944	0.4831894378477948	0.4831894378477948	0.4831894378477948	0.4831894378477948	0.4831894378477948	0.4831894378477948	0.4831894378477948	0.4831894378477948	0.4831894378477948	0.4831894378477948	0.4831894378477948	0.4831894378477948	0.4831894378477948	0.4831894378477948	0.4831894378477948	0.36096376344468206	0.36096376344468206	-0.030097764567102114
5000	0.37696135266703806	0.37696135266703806	0.37696135266703806	0.37696135266703806	0.37696135266703806	0.37696135266703806	0.37696135266703806	0.37696135266703806	0.37696135266703806	0.37696135266703806	0.37696135266703806	0.37696135266703806	0.37696135266703806	0.37696135266703806	0.37696135266703806	0.37696135266703806	0.27759180984335113	0.27759180984335113	0.27759180984335113	0.27759180984335113	0.27759180984335113	0.27759180984335113	1.4094471144547402	1.4094471144547402	0.17527453545539082	0.17527453545539082	0.17527453545539082	0.17527453545539082	0.17527453545539082	0.17527453545539082	0.060123373837280315	0.060123373837280315	0.060123373837280315	0.14462200865135644	0.14462200865135644	0.14462200865135644	0.5383019834853294	0.5383019834853294	0.5383019834853294	0.5383019834853294	0.5383019834853294	0.5383019834853294	0.5383019834853294	0.5383019834853294	-1.0324857617877021	-1.0324857617877021	0.20168681721164725	0.20168681721164725	0.20168681721164725	0.20168681721164725	0.20168681721164725	0.20168681721164725	0.3168379788297577	0.3168379788297577	0.3168379788297577	0.23233934401568163	0.23233934401568163	0.23233934401568163	-0.16134063081829136	-0.16134063081829136	-0.2607101736419783	-0.2607101736419783	-0.2607101736419783	-0.2607101736419783	-0.2607101736419783	-0.2607101736419783
6000	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	0.451077625060092	1.6224584610927222	1.6224584610927222	0.1283770758911169	0.1283770758911169	0.1283770758911169	0.1283770758911169	0.1283770758911169	0.1283770758911169	0.1283770758911169	0.1283770758911169	0.1283770758911169	0.1283770758911169	0.1283770758911169	0.1283770758911169	0.3892862598275848	0.3892862598275848	0.3892862598275848	0.3892862598275848	0.3892862598275848	0.3892862598275848	0.3892862598275848	0.3892862598275848	-1.17138083603263	-1.17138083603263	0.3227005491689751	0.3227005491689751	0.3227005491689751	0.3227005491689751	0.3227005491689751	0.3227005491689751	0.3227005491689751	0.3227005491689751	0.3227005491689751	0.3227005491689751	0.3227005491689751	0.3227005491689751	0.06179136523250722	0.06179136523250722	0.06179136523250722	0.06179136523250722	0.06179136523250722	0.06179136523250722	0.06179136523250722	0.06179136523250722
7000	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.46495867066675883	0.8779963884900938	0.8779963884900938	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	0.3220271558418982	-0.4130377178233349	-0.4130377178233349	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606	0.1429315148248606
8000	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.5905579885493651	0.7873252214233644	0.6054669208395299	0.6054669208395299	0.22524492980854463	0.22524492980854463	0.22524492980854463	0.22524492980854463	0.22524492980854463	0.22524492980854463	0.22524492980854463	0.45477329149674095	0.45477329149674095	0.45477329149674095	0.45477329149674095	0.45477329149674095	0.45477329149674095	0.45477329149674095	0.45477329149674095	0.45477329149674095	0.45477329149674095	0.45477329149674095	0.45477329149674095	0.45477329149674095	-0.014908932290164767	-0.014908932290164767	0.36531305874082054	0.36531305874082054	0.36531305874082054	0.36531305874082054	0.36531305874082054	0.36531305874082054	0.36531305874082054	0.1357846970526242	0.1357846970526242	0.1357846970526242	0.1357846970526242	0.1357846970526242	0.1357846970526242	0.1357846970526242	0.1357846970526242	0.1357846970526242	0.1357846970526242	0.1357846970526242	0.1357846970526242	0.3325519299266234
9000	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.4049687496452407	0.8168418333175915	0.8168418333175915	0.118768029863682	0.118768029863682	0.118768029863682	0.118768029863682	0.118768029863682	0.118768029863682	0.118768029863682	0.47833209395127474	0.47833209395127474	0.47833209395127474	0.47833209395127474	0.47833209395127474	0.47833209395127474	0.47833209395127474	0.47833209395127474	0.47833209395127474	0.47833209395127474	0.47833209395127474	0.47833209395127474	0.47833209395127474	-0.4118730836723508	-0.4118730836723508	0.2862007197815587	0.2862007197815587	0.2862007197815587	0.2862007197815587	0.2862007197815587	0.2862007197815587	0.2862007197815587	-0.07336334430603403	-0.07336334430603403	-0.07336334430603403	-0.07336334430603403	-0.07336334430603403	-0.07336334430603403	-0.07336334430603403	-0.07336334430603403	-0.07336334430603403	-0.07336334430603403	-0.07336334430603403	-0.07336334430603403	-0.07336334430603403
