clade	species	ts	te
0.0	1.0	22.14489666911342	3.752169949977231e-05
0.0	2.0	2.5475659867235683	2.40466226537345
0.0	3.0	2.9990504931649364	2.8593698682289297
0.0	4.0	2.865189843365429	1.9400743032934895
0.0	5.0	1.7906357922804261	0.012143307149210057
0.0	6.0	3.4990525089623117	0.003069080239402869
0.0	7.0	1.719239489431477	0.0
0.0	8.0	2.6050626516232605	2.4706050631496903
0.0	9.0	1.4299015267050028	1.2757145972130213
0.0	10.0	3.180114766223173	0.47814994659411575
0.0	11.0	8.112030367948607	7.965022862220742
0.0	12.0	4.311814347379632	0.015801519600319537
0.0	13.0	4.574667273248446	0.018418662217510907
0.0	14.0	1.9947252731095635	0.0
0.0	15.0	1.3978671335732558	1.2500804148341087
0.0	16.0	28.05646045279194	27.928928636472577
0.0	17.0	1.9227022486645327	0.8091862407434282
0.0	18.0	3.226844573562559	3.085298692432135
0.0	19.0	1.1746596317427958	1.038808088279042
0.0	20.0	4.150800729241555	0.0
0.0	21.0	5.773046701722653	0.42354714621326445
0.0	22.0	1.4074554237580161	1.2556420380194842
0.0	23.0	2.1206028624362903	0.026365836295908038
0.0	24.0	2.9365644563555926	0.0
0.0	25.0	3.2231334039788586	3.0813789870048383
0.0	26.0	3.7634523216225224	3.6336150415339046
0.0	27.0	2.953911256278243	0.04624141791104992
0.0	28.0	0.7172028182198151	0.5870484329323375
0.0	29.0	0.74731681148649	0.6110131613269675
0.0	30.0	2.9480663886996403	2.812274923927351
0.0	31.0	2.6992938875454313	0.6032318728673755
0.0	32.0	4.720479645085353	0.0
0.0	33.0	5.298571378131567	2.0715668738312774
0.0	34.0	1.5283057904399682	1.363530736342873
0.0	35.0	0.8844401550682227	0.7538873137385932
0.0	36.0	1.2452761634412712	1.10637141212588
0.0	37.0	4.1961429284841865	4.055334174219604
0.0	38.0	0.7812232751872213	0.6499295062537491
0.0	39.0	2.5131296333205158	0.024951402748701657
0.0	40.0	1.1481762350184337	1.017351327407211
