feature1,feature2,feature1_state,feature2_state,posterior_probability,magnitude_effect,magnitude_lwr_CI,magnitude_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
taxon,none,Amphicyonidae_Canidae,none,0.75,0.7489028284612372,0.18974360127793238,1.5457705581821126,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Amphicyonidae_Felidae,none,1.0,0.27632011180411975,0.06755108330367113,0.6523909717224818,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Amphicyonidae_FeliformiaOther,none,0.59,0.9055354790002176,0.11526466565321233,1.8192210987937893,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Amphicyonidae_Hyaenidae,none,0.95,0.44506520740795524,0.07852481363030756,0.9713901645723216,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Amphicyonidae_Musteloidea,none,0.99,0.3511667784084005,0.025287447291210276,0.7157774783515883,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Amphicyonidae_Ursidae,none,0.85,0.5977427420650616,0.0876144530357048,1.226483589596684,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Amphicyonidae_Viverridae,none,0.9,0.5645376859676605,0.09149584879453022,1.0613261244984749,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Canidae_Felidae,none,1.0,0.39339536951717236,0.180250658448901,0.6371529801225727,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Canidae_FeliformiaOther,none,0.71,1.3089394222535704,0.5075160481558454,2.3757455270622927,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Canidae_Hyaenidae,none,0.9,0.6633055410327141,0.21680787251350364,1.1479055782410719,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Canidae_Musteloidea,none,1.0,0.4897490631104997,0.26268285502920613,0.8639795840986184,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Canidae_Ursidae,none,0.72,0.8938303061209634,0.3308701694105172,1.8114478273886063,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Canidae_Viverridae,none,0.75,0.8366151443409667,0.2531108653935044,1.8396428102139388,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Felidae_FeliformiaOther,none,1.0,3.5881459468590493,1.0428055609181883,6.560121711005188,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Felidae_Hyaenidae,none,0.88,1.7673969555397513,0.6757612772187561,3.3389575974715817,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Felidae_Musteloidea,none,0.81,1.3159297228470532,0.7156888630832858,1.8947037659584711,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Felidae_Ursidae,none,0.95,2.479272981403363,0.8496852750227999,5.009035206367662,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Felidae_Viverridae,none,0.92,2.277267278736219,0.7509781581694158,4.362012335950239,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,FeliformiaOther_Hyaenidae,none,0.93,0.5655736956334207,0.1794043959750136,1.0904725417149999,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,FeliformiaOther_Musteloidea,none,0.99,0.42465508461276336,0.1362440481670815,0.6853654491849833,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,FeliformiaOther_Ursidae,none,0.78,0.7869864171796894,0.2210589174006675,1.6760776642751645,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,FeliformiaOther_Viverridae,none,0.83,0.7183110844200452,0.12243197603326196,1.4758204432552744,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Hyaenidae_Musteloidea,none,0.73,0.8322985892394944,0.3220312933216602,1.3155132725911058,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Hyaenidae_Ursidae,none,0.74,1.481301876954666,0.5987940409289579,2.7282429855775137,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Hyaenidae_Viverridae,none,0.7,1.4330726794777933,0.32314038251896154,2.954460248568344,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Musteloidea_Ursidae,none,0.91,1.9064635969289268,0.8293679366271068,3.7995211067162695,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Musteloidea_Viverridae,none,0.84,1.7886307800486896,0.6180214955364058,4.078226095238856,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
taxon,none,Ursidae_Viverridae,none,0.58,1.1025146197583098,0.2754692399103047,2.623538208966013,0.1443142029079938,0.0798625754555998,0.21053068020966148,-187.1443804480441,-299.9928991684968,-87.96681052814506,2.0
BodyMass,none,none,none,0.9,2.1135713151937123,0.7212193463120871,4.359489924945036,0.07208186856961141,0.028471932297070065,0.12909015653454736,-99.56589061606986,-179.64082852718116,-32.84358783758694,4.0
