Amphicyonidae	Canidae	Felidae	FeliformiaOther	Hyaenidae	Musteloidea	Ursidae	Viverridae	LogBodyMass	Eurasia	NAmerica	Temperature	Humans
0	0	1	0	0	0	0	0	1.30687386930458	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.686675348315215	0	1	0.829857591963752	0
0	0	0	0	1	0	0	0	0.668720072004614	1	0	1.25567411260015	0
1	0	0	0	0	0	0	0	1.53884177058711	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-1.09995128624525	1	0	1.25567411260015	0
0	1	0	0	0	0	0	0	1.32156804019159	0	1	0.829857591963752	0
0	0	0	1	0	0	0	0	0.373559669391706	1	0	1.25567411260015	0
1	0	0	0	0	0	0	0	2.13565185045742	1	0	1.25567411260015	0
0	0	0	0	0	0	1	0	1.62516249968089	1	0	1.25567411260015	0
0	0	0	0	0	0	1	0	1.88737435361807	1	1	1.13438348486155	0
0	0	0	0	0	0	1	0	1.34517433071751	1	0	1.25567411260015	0
0	0	0	0	0	0	1	0	1.39539884382359	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.472524364952627	1	0	1.25567411260015	0
1	0	0	0	0	0	0	0	1.51102746544027	1	0	1.25567411260015	0
0	0	0	1	0	0	0	0	2.07997017163809	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.0354716452181147	1	0	1.25567411260015	0
0	0	0	0	1	0	0	0	1.56999540958048	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.453543554962921	1	1	1.13438348486155	0
0	1	0	0	0	0	0	0	-0.476228893607151	1	1	1.13438348486155	0
0	0	0	0	0	1	0	0	-1.09361020919313	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.542392001803643	1	1	1.13438348486155	0
1	0	0	0	0	0	0	0	1.87901293618559	1	1	1.13438348486155	0
1	0	0	0	0	0	0	0	2.00921733134206	1	0	1.25567411260015	0
0	0	1	0	0	0	0	0	1.64733343785567	1	1	1.13438348486155	0
0	0	0	0	0	1	0	0	-0.672298297408906	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-1.24186314038244	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	0.230067720042482	1	0	1.25567411260015	0
0	0	0	0	0	0	0	1	-0.0498060221144972	1	0	1.25567411260015	0
0	0	0	0	0	0	1	0	1.78605086579252	0	1	0.829857591963752	0
0	0	0	0	0	0	0	1	-0.942012607929943	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-0.157843825571547	1	1	1.13438348486155	0
0	0	0	0	0	1	0	0	-0.325764522581853	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-0.25694059744332	1	0	1.25567411260015	0
0	0	0	0	0	0	1	0	1.91190650693172	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-0.859913723698958	0	1	0.829857591963752	0
0	0	0	1	0	0	0	0	-0.976673919137835	1	0	1.25567411260015	0
0	0	0	0	0	0	1	0	0.587093293769647	1	0	1.25567411260015	0
0	0	0	0	0	1	0	0	-1.76926881184899	1	0	1.25567411260015	0
0	0	0	1	0	0	0	0	1.4967182582658	1	1	1.13438348486155	0
0	0	0	0	0	1	0	0	-1.29368808238664	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-1.0221466303911	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-1.434267049219	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-0.176130102355044	0	1	0.829857591963752	0
0	0	0	0	0	1	0	0	-0.0214887214590104	1	0	1.25567411260015	0
0	1	0	0	0	0	0	0	0.943593578106302	0	1	0.829857591963752	0
